idno	translation	other-identifier	author-name	num-authors	author-gender	author-nationality	book-title	publ-first	publ-edition	publ-ref	publ-decade	publisher	collection	subgenre	group	translation.1	ISBN	status	scifi	sentimental	policier	blanche
Brunner_Ville	yes		Brunner, John	1.0	male		La ville est un echiquier		1985.0	1985	1980s	Presses Pocket	Science-Fiction	scifi	populaire	yes	2-266-01560-5	tei	yes	no	no	no
Ray_Malpertuis	no		Ray, Jean	1.0	male		Malpertuis, Histoire d'une maison fantastique		1984.0	1984	1980s	J'ai lu	Science-Fiction et Fantastique	scifi	populaire	no	2-277-21677-1	tei	yes	no	no	no
Andrevon_Cauchemar	no		Andrevon, Jean-Pierre	1.0	male		Cauchemar...chauchemars!		1982.0	1982	1980s	J'ai lu	Science-Fiction et Fantastique	scifi	populaire	no	2-277-21281-4	tei	yes	no	no	no
Heinlein_Age	yes		Heinlein, Robert A.	1.0	male		L'âge des étoiles		1981.0	1981	1980s	Presses Pocket	Science-Fiction	scifi	populaire	yes	2-266-01062-X	tei	yes	no	no	no
Volkoff_Guerre	no		Volkoff, Vladimir	1.0	male		La guerre des pieuvres		1983.0	1983	1980s	Presses Pocket	Science-Fiction	scifi	populaire	no	2-266-01305-X	tei	yes	no	no	no
Jeury_Croix	no		Jeury, Michel	1.0	male		La croix et la lionne		1986.0	1986	1980s	J'ai lu	Science-Fiction et Fantastique	scifi	populaire	no	2-277-22035-3	tei	yes	no	no	no
Houssin_Argentine	no		Houssin, Joël	1.0	male		Argentine		1989.0	1989	1980s	Denoël	Présence du Futur	scifi	populaire	no	2-207-30486-8	tei	yes	no	no	no
Brunner_Noire	yes		Brunner, John	1.0	male		Noire est la couleur		1984.0	1984	1980s	Presses Pocket	Science-Fiction	scifi	populaire	yes	2-266-01417-X	tei	yes	no	no	no
Heinlein_Vagabond	yes		Heinlein, Robert	1.0	male		Le vagabond de l'espace		1983.0	1983	1980s	Presses Pocket	Science-Fiction	scifi	populaire	yes	2-266-01226-6	tei	yes	no	no	no
Vonarburg_Silence	no		Vonarburg, Elisabeth	1.0	female		Le silence de la cité		1981.0	1981	1980s	Denoël	Présence du Futur	scifi	populaire	no	keine Angabe	tei	yes	no	no	no
Silverberg_Revivre	yes		Silverberg, Robert	1.0	male		Revivre encore		1984.0	1984	1980s	Presses Pocket	Science-Fiction	scifi	populaire	yes	2-266-01466-8	tei	yes	no	no	no
Volkoff_Tire	no		Volkoff, Vladimir	1.0	male		Le tire-bouchon du bon dieu		1982.0	1982	1980s	Presses Pocket	Science-Fiction	scifi	populaire	no	2-266-01176-6	tei	yes	no	no	no
Wintrebert_MaitresFeu	no		Wintrebert, Joëlle	1.0	female		Les maîtres-feu		1983.0	1983	1980s	J'ai lu	Science-Fiction et Fantastique	scifi	populaire	no	2-277-21408-6	tei	yes	no	no	no
Fayard_Chasseurs	no		Fayard, Colette	1.0	female		Les chasseurs au bord de la nuit		1989.0	1989	1980s	Denoël	Présence du Futur	scifi	populaire	no	2-207-30487-6	tei	yes	no	no	no
Spinrad_Miroirs	yes		Spinrad, Norman	1.0	male		Les miroirs de l'esprit		1986.0	1986	1980s	Presses Pocket	Science-Fiction	scifi	populaire	yes	2-266-01694-6	tei	yes	no	no	no
Curval_Odeur	no		Curval, Philippe	1.0	male		L'odeur de la bête		1981.0	1981	1980s	Denoël	Présence du Futur	scifi	populaire	no	(unknown)	tei	yes	no	no	no
Silverberg_Deserteurs	yes		Silverberg, Robert	1.0	male		Les déserteurs temporels		1986.0	1986	1980s	Presses Pocket	Science-Fiction	scifi	populaire	yes	2-266-01681-4	tei	yes	no	no	no
Myers_Gold	yes		Myers, Helen R.	1.0	female		Gold'n Hart Café		1989.0	1989	1980s	Harlequin	Duo Romance	sentimental	populaire	yes	2-280-80442-5	tei	no	yes	no	no
Macomber_Peur	yes		Macomber, Debbie	1.0	female		Qui a peur de J.D. Norris?		1989.0	1989	1980s	Harlequin	Duo Romance	sentimental	populaire	yes	2-280-80427-1	tei	no	yes	no	no
Boswell_Amour	yes		Boswell, Barbara	1.0	female		L'amour à la une		1988.0	1988	1980s	Presses de la Cité	Collection Passion	sentimental	populaire	yes	2-258-2073-5	tei	no	yes	no	no
Tornielle_Lina	no		Tornielle, Camille	1.0	female		Lina		1987.0	1987	1980s	Fleuve Noir	Femme Viva	sentimental	populaire	no	2-265-03517-3	tei	no	yes	no	no
Kalmes_Meilleur	yes		Kalmes, Susan	1.0	female		Le meilleur des deux mondes		1989.0	1989	1980s	Harlequin	Duo Romance	sentimental	populaire	yes	2-280-80439-5	tei	no	yes	no	no
Hooper_Loi	yes		Hooper, Kay	1.0	female		La loi de Steele		1988.0	1988	1980s	Presses de la Cité	Collection Passion	sentimental	populaire	yes	2-258-02150-2	tei	no	yes	no	no
Forest_Disparue	yes		Forest, Regan	1.0	male		La disparue de Rosewood		1989.0	1989	1980s	Harlequin	Duo Desir	sentimental	populaire	yes	2-280-85277-2	tei	no	yes	no	no
LewisThompson_Emeraude	yes		Lewis Thompson, Vicki	1.0	female		L'émeraude talisman		1989.0	1989	1980s	Harlequin	Duo Desir	sentimental	populaire	yes	9-782280-852838	tei	no	yes	no	no
Peters_Amulette	yes		Peters, Sue	1.0	female		L'amulette de jade		1982.0	1982	1980s	Harlequin	Collection	sentimental	populaire	yes	2-280-00113-6	tei	no	yes	no	no
Baker_Veuve	yes		Baker, Fran	1.0	female		La veuve et l'or noir		1988.0	1988	1980s	Presses de la Cité	Collection Passion	sentimental	populaire	yes	2-258-02680-6	tei	no	yes	no	no
Jammet_Sylvie	no		Jammet, Céline	1.0	female		Sylvie		1987.0	1987	1980s	Fleuve Noir	Femme Viva	sentimental	populaire	no	2-265-03661-7	tei	no	yes	no	no
YoungB_Soeurs	yes		Young, Brittany	1.0	female		Les soeurs de l'orage		1989.0	1989	1980s	Harlequin	Duo Romance	sentimental	populaire	yes	2-280-80440-9	tei	no	yes	no	no
Blake_Salon	yes		Blake, Susan	1.0	female		Le salon de l'épouvante		1986.0	1986	1980s	Hachette	Haute tension / Spectres	sentimental	populaire	yes	2-01-011850-2	tei	no	yes	no	no
Goldrick_Fugue	yes		Goldrick, Emma	1.0	female		Fugue dans les Caraïbes		1989.0	1989	1980s	Harlequin	Azur	sentimental	populaire	yes	2-280-00636-7	tei	no	yes	no	no
Hooper_Chute	yes		Hooper, Kay	1.0	female		La chute de Lucas		1989.0	1989	1980s	Presses de la Cité	Collection Passion	sentimental	populaire	yes	2-258-02562-1	tei	no	yes	no	no
Verdet_Veronique	no		Verdet, Isabelle	1.0	female		Véronique		1987.0	1987	1980s	Fleuve Noir	Femme Viva	sentimental	populaire	no	2-265-03703-6	tei	no	yes	no	no
Burton_Windspear	yes		Burton, Katherine	1.0	female		Windspear, monde enchanté		1989.0	1989	1980s	Harlequin	Collection Or 	sentimental	populaire	yes	2-280-07272-6	tei	no	yes	no	no
Bagwell_Deux	yes		Bagwell, Stella	1.0	female		Deux semaines de vacances		1989.0	1989	1980s	Harlequin	Duo Romance	sentimental	populaire	yes	9-782280-804563	tei	no	yes	no	no
Bond_Clameurs	yes		Bond, Evelyn	1.0	female		Les clameurs du passé		1987.0	1987	1980s	Fleuve Noir	Tourmentes	sentimental	populaire	yes	2-265-03747-5	tei	no	yes	no	no
Lowell_Espionne	yes		Lowell, Elizabeth	1.0	female		L'espionne du mandarin		1989.0	1989	1980s	Harlequin	Grands Romans	sentimental	populaire	yes	2-280-11030-X	tei	no	yes	no	no
Hayes_Legende	yes		Hayes, Leal	1.0	female		La légende des Highlands		1986.0	1986	1980s	Fleuve Noir	Tourmentes	sentimental	populaire	yes	2-265-03521-4	tei	no	yes	no	no
Ryan_Etrange	yes		Ryan, Jenna	1.0	female		Étrange rôle pour Sara		1988.0	1988	1980s	Harlequin	Collection Horizon	sentimental	populaire	yes	2-280-01688-5	tei	no	yes	no	no
Bucheister_Deux	yes		Bucheister, Patt	1.0	female		Les deux routes		1988.0	1988	1980s	Presses de la Cité	Collection Passion	sentimental	populaire	yes	2-258-02560-5	tei	no	yes	no	no
YoungK_Maison	yes		Young, Karen	1.0	female		Dans la maison du lac		1989.0	1989	1980s	Harlequin	Collection Or	sentimental	populaire	yes	2-280-07302-1	tei	no	yes	no	no
Ziegler_Monstre	yes		Ziegler, Thomas	1.0	male		Un monstre à bord		1988.0	1988	1980s	Hachette	Haute tension / Spectres	sentimental	populaire	yes	2-01-013771-X	tei	no	yes	no	no
RossJo_Rock	yes		Ross, JoAnn	1.0	female		Red Rock Café		1989.0	1989	1980s	Harlequin	Duo Desir	sentimental	populaire	yes	2-280-85275-6	tei	no	yes	no	no
Howard_Montagne	yes		Howard, Linda	1.0	female		La montagne des Mackenzie		1989.0	1989	1980s	Harlequin	Duo Harmonie	sentimental	populaire	yes	9-78228-0832427	tei	no	yes	no	no
Chance_Enquete	yes		Chance, Sara	1.0	female		Enquête sur une femme espion		1989.0	1989	1980s	Harlequin	Rouge Passion	sentimental	populaire	yes	2-280-12288-X	tei	no	yes	no	no
Lyons_Ciel	yes		Lyons, Mary	1.0	female		Ciel de colère sur Antigua		1989.0	1989	1980s	Harlequin	Azur	sentimental	populaire	yes	2-280-00706-1	tei	no	yes	no	no
JamesB_Pic	yes		James, B. J.	1.0	male		Le pic des ombres		1985.0	1985	1980s	Presses de la Cité	Collection Passion	sentimental	populaire	yes	2-258-01794-7	tei	no	yes	no	no
Cajio_Fil	yes		Cajio, Linda	1.0	female		Un fil de soie		1989.0	1989	1980s	Presses de la Cité	Collection Passion	sentimental	populaire	yes	2-258-02681-4	tei	no	yes	no	no
Leigh_Duel	yes		Leigh, Roberta	1.0	female		Duel à Los Angeles		1981.0	1981	1980s	Harlequin	Collection Azur	sentimental	populaire	yes	2-280-00640-5	tei	no	yes	no	no
Walker_Pirate	yes		Walker, Kate	1.0	female		Le pirate de Highcliff		1988.0	1988	1980s	Harlequin	Collection Azur	sentimental	populaire	yes	2-280-00705-3	tei	no	yes	no	no
Netter_Maitre	yes		Netter, Susan	1.0	female		Le maítre de l'orage		1986.0	1986	1980s	Hachette	Haute tension / Spectres	sentimental	populaire	yes	2-01-011855-3	tei	no	yes	no	no
RobertsD_Scorpion	yes		Roberts, Doreen	1.0	female		Le scorpion de jade		1989.0	1989	1980s	Harlequin	Duo Harmonie	sentimental	populaire	yes	2-280-83223-2	tei	no	yes	no	no
Gamble_Roman	yes		Gamble, M.L.	1.0	female	US	Le Roman de Sarah Winesong		1989.0	1989	1980s	Harlequin	Duo Harmonie	sentimental	populaire	yes	9-78228-0832380	tei	no	yes	no	no
Kidd_Promenade	yes		Kidd, Flora	1.0	female		Promenade au bord de l'Hudson		1989.0	1989	1980s	Harlequin	Collection Horizon	sentimental	populaire	yes	9-782280-016735	tei	no	yes	no	no
YoungB_Rose	yes		Young, Brittany	1.0	female		La rose du Kremlin		1989.0	1989	1980s	Harlequin	Duo Romance	sentimental	populaire	yes	2-280-80437-9	tei	no	yes	no	no
Bataille_Valerie	no		Bataille, Thierry	1.0	male		Valérie		1987.0	1987	1980s	Fleuve Noir	Femme Viva	sentimental	populaire	no	2-265-03566-1	tei	no	yes	no	no
Dark_Vampires	yes		Dark, Jason	1.0	male		Vampires en pire		1987.0	1987	1980s	Hachette	Haute tension / Spectres	sentimental	populaire	yes	2-01-0130003-0	tei	no	yes	no	no
Steeman_Morte	no		Steeman, Stanislas-André	1.0	male		La morte survit au 13		1985.0	1985	1980s	Le Masque	Romans d'aventures	policier	populaire	no	2-7024-1660-8	tei	no	no	yes	no
MillerW_Foire	yes		Miller, Wade	1.0	male		La foire aux crimes		1984.0	1984	1980s	Le Masque	Romans d'aventures	policier	populaire	yes	2-7024-1578-4	tei	no	no	yes	no
Thomson_Peche	yes		Thomson, June	1.0	female		Péché mortel		1984.0	1984	1980s	Le Masque	Romans d'aventures	policier	populaire	yes	2-7024-1541-5	tei	no	no	yes	no
Fair_Quitte	yes		Fair, A. A. (Erle Stanley Gardner)	1.0	male		Quitte ou double		1984.0	1984	1980s	Le Masque	Romans d'aventures	policier	populaire	yes	2-7024-1547-4	tei	no	no	yes	no
Pennac_Bonheur	no	rv0676	Pennac, Daniel	1.0	male	F	Malaussene 1 Bonheur Ogres	1985.0		1985	1980s	(unknown)	(unknown)	policier	populaire	no	(unknown)	tei	no	no	yes	no
Millar_Femme	yes		Millar, Margaret	1.0	female		La femme de sa mort		1986.0	1986	1980s	Le Masque	Romans d'aventures	policier	populaire	yes	2-7024-1720-5	tei	no	no	yes	no
Ferval_Assassins	no		Ferval, Henri	1.0	male		Les assassins sont morts		1982.0	1982	1980s	Le Masque	Romans d'aventures	policier	populaire	no	2-7024-1362-5	tei	no	no	yes	no
Jeffers_Irregulier	yes		Jeffers, Paul	1.0	male		Irrégulier, mon cher Morgan! (les fans de Sherlock Holmes)		1985.0	1985	1980s	Le Masque	Romans d'aventures	policier	populaire	yes	2-7024-1651-9	tei	no	no	yes	no
Exbrayat_Pantoufles	no		Exbrayat, Charles	1.0	male		Mets tes pantoufles, Roméo		1983.0	1983	1980s	Le Masque	Romans d'aventures	policier	populaire	no	2-7024-1440-0	tei	no	no	yes	no
Ryck_Autobiographie	no	rv0663	Ryck, Francis	1.0	male	F	Autobiographie Tueur	1987.0		1987	1980s	(unknown)	(unknown)	policier	populaire	no	(unknown)	tei	no	no	yes	no
VanDeWetering_Massacre	yes		van de Wetering, Janwillem	1.0	male		Le Massacre du Maine		1988.0	1988	1980s	Rivages	Rivages/Noir	policier	populaire	yes	2-86930-130-8	tei	no	no	yes	no
Amila_Balcon	no	rv0672	Amila, Jean	1.0	male	F	Balcon Hiroshima	1985.0		1985	1980s	(unknown)	(unknown)	policier	populaire	no	(unknown)	tei	no	no	yes	no
Hansen_Mort	yes		Hansen, Joseph	1.0	male		Par qui la mort arrive		1986.0	1986	1980s	Rivages	Rivages/Noir	policier	populaire	yes	2-86930-001-8	tei	no	no	yes	no
Daeninckx_Meurtres	no	rv1015	Daeninckx, Didier	1.0	male	F	Meurtres pour mémoire	1984.0		1984	1980s	(unknown)	(unknown)	policier	populaire	no	(unknown)	tei	no	no	yes	no
Carr_Marie	yes		Carr, John Dickson	1.0	male		Le marié perd la tête		1985.0	1985	1980s	Le Masque	Romans d'aventures	policier	populaire	yes	2-7024-1655-1	tei	no	no	yes	no
Dard_Alice	no	rv1100	Dard, Frédéric	1.0	male	F	Alice aux Pays des Merguez	1986.0		1986	1980s	(unknown)	(unknown)	policier	populaire	no	(unknown)	tei	no	no	yes	no
Carr_Service	yes		Carr, John Dickson	1.0	male		Service des affaires inclassables		1988.0	1988	1980s	Le Masque	Romans d'aventures	policier	populaire	yes	2-7024-1802-3	tei	no	no	yes	no
Daeninckx_Geant	no	rv1245	Daeninckx, Didier	1.0	male	F	Le Géant Inachevé	1984.0		1984	1980s	(unknown)	(unknown)	policier	populaire	no	(unknown)	tei	no	no	yes	no
Ryck_Piege	no	rv0667	Ryck, Francis	1.0	male	F	Piege	1981.0		1981	1980s	(unknown)	(unknown)	policier	populaire	no	(unknown)	tei	no	no	yes	no
Irish_Manhattan	yes		Irish, William	1.0	male		Manhattan Love Song		1986.0	1986	1980s	Rivages	Rivages/Noir	policier	populaire	yes	2-86930-037-9	tei	no	no	yes	no
Stagge_Chansonnette	yes		Stagge, Jonathan	1.0	male		Chansonnette funèbre		1984.0	1984	1980s	Le Masque	Romans d'aventures	policier	populaire	yes	2-7024-1508-3	tei	no	no	yes	no
Verteuil_Machination	no		Verteuil, Philippe	1.0	male		Machination au troisième degré		1981.0	1981	1980s	Le Masque	Romans d'aventures	policier	populaire	no	2-7024-1263-7	tei	no	no	yes	no
Fast_Crime	yes		Fast, Julius	1.0	male		Crime en blanc		1987.0	1987	1980s	Le Masque	Romans d'aventures	policier	populaire	yes	2-7024-1783-3	tei	no	no	yes	no
Rendell_Fille	yes		Rendell, Ruth	1.0	female		Une fille dans un caveau		1986.0	1986	1980s	Le Masque	Romans d'aventures	policier	populaire	yes	2-7024-1703-5	tei	no	no	yes	no
Daeninckx_Metropolice	no	rv1247	Daeninckx, Didier	1.0	male	F	Métropolice	1985.0		1985	1980s	(unknown)	(unknown)	policier	populaire	no	(unknown)	tei	no	no	yes	no
Manchette_Position	no	rv1074	Manchette, Jean-Patrick	1.0	male	F	La Position du Tireur couché	1981.0		1981	1980s	(unknown)	(unknown)	policier	populaire	no	(unknown)	tei	no	no	yes	no
Ferriere_Climat	no		Ferrière, Jean-Pierre	1.0	male		Un climat mortel		1983.0	1983	1980s	Le Masque	Romans d'aventures	policier	populaire	no	2-7024-1488-5	tei	no	no	yes	no
Kallen_Greenfield	yes		Greenfield, Lucille	1.0	female		Greenfield connaît la musique		1986.0	1986	1980s	Le Masque	Romans d'aventures	policier	populaire	yes	2-7024-1677-2	tei	no	no	yes	no
Beeding_Numero	yes		Beeding, Francis	1.0	female		Le numéro gagnant		1984.0	1984	1980s	Le Masque	Romans d'aventures	policier	populaire	yes	2-7024-1519-9	tei	no	no	yes	no
BoileauNarcejac_Poudriere	no	rv1260	Boileau-Narcejac	2.0	male	F	La Poudrière	1987.0		1987	1980s	(unknown)	(unknown)	policier	populaire	no	(unknown)	tei	no	no	yes	no
Grisolia_Soeurs	no		Grisolia, Michel	1.0	male		Les sœurs du nord		1986.0	1986	1980s	Le Masque	Romans d'aventures	policier	populaire	no	2-7024-1707-8	tei	no	no	yes	no
RossJ_Morte	yes		Ross, Jonathan	1.0	male		Une petite morte bien rangée		1984.0	1984	1980s	Le Masque	Romans d'aventures	policier	populaire	yes	2-7024-1581-4	tei	no	no	yes	no
Lovesey_Course	yes		Lovesey, Peter	1.0	male		La course ou la vie		1985.0	1985	1980s	Le Masque	Romans d'aventures	policier	populaire	yes	2-7024-1646-2	tei	no	no	yes	no
Bachellerie_Ile	no		Bachellerie, Louise	1.0	female		L'île aux muettes		1985.0	1985	1980s	Le Masque	Romans d'aventures	policier	populaire	no	2-7024-1613-6	ocr	no	no	yes	no
Narcejac_Mort	no		Narcejac, Thomas	1.0	male		La mort est du voyage		1983.0	1983	1980s	Le Masque	Romans d'aventures	policier	populaire	no	2-7024-1470-2	tei	no	no	yes	no
Didelot_Ombres	no		Didelot, Francis	1.0	male		Les ombres du parking		1980.0	1980	1980s	Le Masque	Romans d'aventures	policier	populaire	no	2-7024-1045-6	tei	no	no	yes	no
Bruce_Trois	yes		Bruce, Leo	1.0	male		Trois détectives		1985.0	1985	1980s	Le Masque	Romans d'aventures	policier	populaire	yes	2-7024-1658-6	tei	no	no	yes	no
Blackmon_Assassine	yes		Blackmon, Anita	1.0	female		On assassine au Richelieu		1988.0	1988	1980s	Le Masque	Romans d'aventures	policier	populaire	yes	2-7024-1795-7	tei	no	no	yes	no
Pennac_Fee	no	rv0673	Pennac, Daniel	1.0	male	F	Malaussene 2 Fee Carabine	1987.0		1987	1980s	(unknown)	(unknown)	policier	populaire	no	(unknown)	tei	no	no	yes	no
Crispin_Prelude	yes		Crispin, Edmund	1.0	male		Prélude et mort d'Isolde		1988.0	1988	1980s	Le Masque	Romans d'aventures	policier	populaire	yes	2-7024-1845-7	tei	no	no	yes	no
Pennac_Petite	no		Pennac, Daniel	1.0	male		La petite marchande de prose	1989.0	1990.0	1989	1980s	Gallimard	Folio	blanche	blanche	no	2-07-071822-0	tei	no	no	no	yes
Echenoz_Equipee	no	rv0122	Echenoz, Jean	1.0	male	F	L'Équipée	1986.0		1986	1980s	(unknown)	(unknown)	blanche	blanche	no	(unknown)	tei	no	no	no	yes
Tournier_Goutte	no	rv0498	Tournier, Michel	1.0	male	F	Goutte Or	1985.0		1985	1980s	(unknown)	(unknown)	blanche	blanche	no	(unknown)	tei	no	no	no	yes
Japrisot_Passion	no		Japrisot, Sébastian	1.0	male		La passion des femmes		1986.0	1986	1980s	Gallimard	Folio	blanche	blanche	no	2-07-038034-3	tei	no	no	no	yes
Modiano_Quartier	no	rv0234	Modiano, Patrick	1.0	male	F	Quartier Perdu	1984.0		1984	1980s	(unknown)	(unknown)	blanche	blanche	no	(unknown)	tei	no	no	no	yes
Carrere_Moustache	no		Carrère, Emmanuel	1.0	male		La moustache		1986.0	1986	1980s	P.O.L	Folio	blanche	blanche	no	978-2-07-037883-8	tei	no	no	no	yes
Gide_Faux	no		Gide, André	1.0	male		Les faux-monnayeurs		1987.0	1987	1980s	Gallimard	Collection Folio	blanche	blanche	no	2-07-036879-3	tei	no	no	no	yes
Tournier_Gaspard	no	rv0499	Tournier, Michel	1.0	male	F	Gaspard	1980.0		1980	1980s	(unknown)	(unknown)	blanche	blanche	no	(unknown)	tei	no	no	no	yes
Bon_Limite	no	rv0527	Bon, François	1.0	male	F	Limite	1985.0		1985	1980s	(unknown)	(unknown)	blanche	blanche	no	(unknown)	tei	no	no	no	yes
Clot_Enfant	no		Clot, René-Jean	1.0	male		L'Enfant halluciné		1987.0	1987	1980s	Grasset		blanche	blanche	no	2-246-37561-4	tei	no	no	no	yes
Deon_Bagages	no		Déon, Michel	1.0	male		Bagages pour Vancouver. Mes arches de Noé		1985.0	1985	1980s	Gallimard	Folio	blanche	blanche	no	2-07-037886-1	tei	no	no	no	yes
Bielski_Belles	no		Bielski, Nella	1.0	female		Si belles et fraîches étaient les roses		1980.0	1980	1980s	Mercure de France	Folio	blanche	blanche	no	2-07-037551-X	tei	no	no	no	yes
Modiano_Vestiaire	no	rv0239	Modiano, Patrick	1.0	male	F	Vestiaire de l'enfance	1989.0		1989	1980s	(unknown)	(unknown)	blanche	blanche	no	(unknown)	tei	no	no	no	yes
Gascar_Regne	no		Gascar, Pierre	1.0	male		Le règne végétal		1981.0	1981	1980s	Gallimard		blanche	blanche	no	keine Angabe	tei	no	no	no	yes
Bourin_Amours	no		Bourin, Jeanne	1.0	female		Les amours blessées		1987.0	1987	1980s	Gallimard	Folio	blanche	blanche	no	2-07-038119-6	tei	no	no	no	yes
LeClezio_Chercheur	no	rv0700	LeClezio, Jean-Marie	1.0	male	F	Chercheur Or	1985.0		1985	1980s	(unknown)	(unknown)	blanche	blanche	no	(unknown)	tei	no	no	no	yes
Duras_Yeux	no	rv0216	Duras, Marguerite	1.0	female	F	Les Yeux Bleus Cheveux Noirs	1986.0		1986	1980s	(unknown)	(unknown)	blanche	blanche	no	(unknown)	tei	no	no	no	yes
Sollers_Femmes	no		Sollers, Philippe	1.0	male		Femmes		1984.0	1984	1980s	Gallimard	Collection Folio	blanche	blanche	no	2-07-037620-6	tei	no	no	no	yes
RobbeGrillet_NN	no	rv0193	Robbe-Grillet, Alain	1.0	male	F	Djinn, Un trou rouge entre les pavés disjoints	1981.0		1981	1980s	(unknown)	(unknown)	blanche	blanche	no	(unknown)	tei	no	no	no	yes
Cardinal_Grands	no		Cardinal, Marie	1.0	female		Les grands désordres		1987.0	1987	1980s	Grasset		blanche	blanche	no	2-246-39921-1	tei	no	no	no	yes
