	welsh_words	welsh	welsh_rang	dispersion	dispersion_numeric
82	untuniutntrng55886	0.0	48278	1000/1	1000.0
83	untuniutntrng55886	0.0	48425	1000/1	1000.0
84	untuniutntrng55886	0.0	48405	1000/1	1000.0
85	untuniutntrng55886	0.0	48432	1000/1	1000.0
86	untuniutntrng55886	0.0	48348	1000/1	1000.0
87	untuniutntrng55886	0.0	48431	1000/1	1000.0
88	untuniutntrng55886	0.0	48350	1000/1	1000.0
89	untuniutntrng55886	0.0	48283	1000/1	1000.0
90	untuniutntrng55886	0.0	48368	1000/1	1000.0
91	untuniutntrng55886	0.0	48342	1000/1	1000.0
92	untuniutntrng55886	0.0	48390	1000/1	1000.0
93	untuniutntrng55886	0.0	48326	1000/1	1000.0
94	untuniutntrng55886	0.0	48372	1000/1	1000.0
95	untuniutntrng55886	0.0	48430	1000/1	1000.0
96	untuniutntrng55886	0.0	48534	1000/1	1000.0
97	untuniutntrng55886	0.0	48381	1000/1	1000.0
98	untuniutntrng55886	0.0	48530	1000/1	1000.0
99	untuniutntrng55886	0.0	42085	1000/1	1000.0
100	untuniutntrng55886	0.0	50478	100/10	10.0
101	untuniutntrng55886	0.0	54363	100/10	10.0
102	untuniutntrng55886	0.0	50640	100/10	10.0
103	untuniutntrng55886	0.0	54529	100/10	10.0
104	untuniutntrng55886	0.0	50380	100/10	10.0
105	untuniutntrng55886	0.0	52748	100/10	10.0
106	untuniutntrng55886	0.0	52837	100/10	10.0
107	untuniutntrng55886	0.0	50577	100/10	10.0
108	untuniutntrng55886	0.0	50496	100/10	10.0
109	untuniutntrng55886	0.0	50391	100/10	10.0
110	untuniutntrng55886	0.0	50757	100/10	10.0
111	untuniutntrng55886	0.0	54711	100/10	10.0
112	untuniutntrng55886	0.0	50467	100/10	10.0
113	untuniutntrng55886	0.0	52813	100/10	10.0
114	untuniutntrng55886	0.0	50451	100/10	10.0
115	untuniutntrng55886	0.0	50624	100/10	10.0
116	untuniutntrng55886	0.0	50496	100/10	10.0
117	untuniutntrng55886	0.0	52858	100/10	10.0
118	untuniutntrng55886	0.0	50792	100/10	10.0
119	untuniutntrng55886	0.0	50542	100/10	10.0
120	untuniutntrng55886	0.0	50465	100/10	10.0
121	untuniutntrng55886	0.0	50616	100/10	10.0
122	untuniutntrng55886	0.0	52841	100/10	10.0
123	untuniutntrng55886	0.0	52779	100/10	10.0
124	untuniutntrng55886	0.0	52636	100/10	10.0
125	untuniutntrng55886	0.0	50474	100/10	10.0
126	untuniutntrng55886	0.0	50609	100/10	10.0
127	untuniutntrng55886	0.0	50655	100/10	10.0
128	untuniutntrng55886	0.0	53356	100/10	10.0
129	untuniutntrng55886	0.0	50340	100/10	10.0
130	untuniutntrng55886	0.0	53089	100/10	10.0
131	untuniutntrng55886	0.0	50469	100/10	10.0
132	untuniutntrng55886	0.0	52691	100/10	10.0
133	untuniutntrng55886	0.0	53003	100/10	10.0
134	untuniutntrng55886	0.0	52845	100/10	10.0
135	untuniutntrng55886	0.0	52628	100/10	10.0
136	untuniutntrng55886	0.0	52830	100/10	10.0
137	untuniutntrng55886	0.0	53460	100/10	10.0
138	untuniutntrng55886	0.0	52963	100/10	10.0
139	untuniutntrng55886	0.0	50742	100/10	10.0
140	untuniutntrng55886	0.0	50374	100/10	10.0
141	untuniutntrng55886	0.0	53076	100/10	10.0
142	untuniutntrng55886	0.0	53366	100/10	10.0
143	untuniutntrng55886	0.0	52689	100/10	10.0
144	untuniutntrng55886	0.0	50502	100/10	10.0
145	untuniutntrng55886	0.0	50564	100/10	10.0
146	untuniutntrng55886	0.0	50601	100/10	10.0
147	untuniutntrng55886	0.0	52721	100/10	10.0
148	untuniutntrng55886	0.0	50656	100/10	10.0
149	untuniutntrng55886	0.0	50651	100/10	10.0
150	untuniutntrng55886	0.0	50441	100/10	10.0
151	untuniutntrng55886	0.0	54747	100/10	10.0
152	untuniutntrng55886	0.0	50520	100/10	10.0
153	untuniutntrng55886	0.0	54461	100/10	10.0
154	untuniutntrng55886	0.0	50454	100/10	10.0
155	untuniutntrng55886	0.0	52875	100/10	10.0
156	untuniutntrng55886	0.0	50349	100/10	10.0
157	untuniutntrng55886	0.0	52777	100/10	10.0
158	untuniutntrng55886	0.0	46112	100/10	10.0
159	untuniutntrng55886	0.0	50592	100/10	10.0
160	untuniutntrng55886	0.0	50661	100/10	10.0
161	untuniutntrng55886	0.0	50512	100/10	10.0
162	untuniutntrng55886	0.0	53444	100/10	10.0
163	untuniutntrng55886	0.0	50723	100/10	10.0
164	untuniutntrng55886	0.0	50901	100/10	10.0
165	untuniutntrng55886	0.0	52772	100/10	10.0
166	untuniutntrng55886	0.0	50466	100/10	10.0
167	untuniutntrng55886	0.0	50521	100/10	10.0
168	untuniutntrng55886	0.0	52755	100/10	10.0
169	untuniutntrng55886	0.0	52766	100/10	10.0
170	untuniutntrng55886	0.0	50087	100/10	10.0
171	untuniutntrng55886	0.0	50683	100/10	10.0
172	untuniutntrng55886	0.0	50526	100/10	10.0
173	untuniutntrng55886	0.0	52904	100/10	10.0
174	untuniutntrng55886	0.0	50569	100/10	10.0
175	untuniutntrng55886	0.0	50448	100/10	10.0
176	untuniutntrng55886	0.0	52780	100/10	10.0
177	untuniutntrng55886	0.0	52849	100/10	10.0
178	untuniutntrng55886	0.0	50695	100/10	10.0
179	untuniutntrng55886	0.0	50698	100/10	10.0
180	untuniutntrng55886	0.0	52818	100/10	10.0
181	untuniutntrng55886	0.0	52873	100/10	10.0
182	untuniutntrng55886	0.0	52811	100/10	10.0
183	untuniutntrng55886	0.0	50476	100/10	10.0
184	untuniutntrng55886	0.0	50558	100/10	10.0
185	untuniutntrng55886	0.0	50770	100/10	10.0
186	untuniutntrng55886	0.0	50462	100/10	10.0
187	untuniutntrng55886	0.0	50480	100/10	10.0
188	untuniutntrng55886	0.0	50437	100/10	10.0
189	untuniutntrng55886	0.0	50451	100/10	10.0
190	untuniutntrng55886	0.0	50500	100/10	10.0
191	untuniutntrng55886	0.0	50487	100/10	10.0
192	untuniutntrng55886	0.0	50914	100/10	10.0
193	untuniutntrng55886	0.0	50657	100/10	10.0
194	untuniutntrng55886	0.0	52661	100/10	10.0
195	untuniutntrng55886	0.0	52680	100/10	10.0
196	untuniutntrng55886	0.0	52615	100/10	10.0
197	untuniutntrng55886	0.0	51826	100/10	10.0
198	untuniutntrng55886	0.0	53132	100/10	10.0
199	untuniutntrng55886	0.0	54231	100/10	10.0
200	untuniutntrng55886	0.0	50507	10/100	0.1
201	untuniutntrng55886	0.0	50491	10/100	0.1
202	untuniutntrng55886	0.0	50357	10/100	0.1
203	untuniutntrng55886	0.0	50546	10/100	0.1
204	untuniutntrng55886	0.0	50662	10/100	0.1
205	untuniutntrng55886	0.0	50421	10/100	0.1
206	untuniutntrng55886	0.0	50389	10/100	0.1
207	untuniutntrng55886	0.0	50700	10/100	0.1
208	untuniutntrng55886	0.0	50526	10/100	0.1
209	untuniutntrng55886	0.0	50431	10/100	0.1
210	untuniutntrng55886	0.0	50737	10/100	0.1
211	untuniutntrng55886	0.0	50616	10/100	0.1
212	untuniutntrng55886	0.0	50795	10/100	0.1
213	untuniutntrng55886	0.0	50592	10/100	0.1
214	untuniutntrng55886	0.0	53585	10/100	0.1
215	untuniutntrng55886	0.0	50496	10/100	0.1
216	untuniutntrng55886	0.0	50608	10/100	0.1
217	untuniutntrng55886	0.0	52514	10/100	0.1
218	untuniutntrng55886	0.0	50403	10/100	0.1
219	untuniutntrng55886	0.0	48838	10/100	0.1
220	untuniutntrng55886	0.0	50636	10/100	0.1
221	untuniutntrng55886	0.0	50416	10/100	0.1
222	untuniutntrng55886	0.0	50381	10/100	0.1
223	untuniutntrng55886	0.0	50754	10/100	0.1
224	untuniutntrng55886	0.0	50570	10/100	0.1
225	untuniutntrng55886	0.0	50696	10/100	0.1
226	untuniutntrng55886	0.0	50949	10/100	0.1
227	untuniutntrng55886	0.0	50571	10/100	0.1
228	untuniutntrng55886	0.0	50572	10/100	0.1
229	untuniutntrng55886	0.0	50482	10/100	0.1
230	untuniutntrng55886	0.0	50650	10/100	0.1
231	untuniutntrng55886	0.0	50554	10/100	0.1
232	untuniutntrng55886	0.0	50568	10/100	0.1
233	untuniutntrng55886	0.0	50589	10/100	0.1
234	untuniutntrng55886	0.0	50688	10/100	0.1
235	untuniutntrng55886	0.0	50918	10/100	0.1
236	untuniutntrng55886	0.0	53433	10/100	0.1
237	untuniutntrng55886	0.0	50319	10/100	0.1
238	untuniutntrng55886	0.0	50662	10/100	0.1
239	untuniutntrng55886	0.0	50487	10/100	0.1
240	untuniutntrng55886	0.0	50598	10/100	0.1
241	untuniutntrng55886	0.0	50491	10/100	0.1
242	untuniutntrng55886	0.0	50803	10/100	0.1
243	untuniutntrng55886	0.0	50243	10/100	0.1
244	untuniutntrng55886	0.0	50649	10/100	0.1
245	untuniutntrng55886	0.0	50959	10/100	0.1
246	untuniutntrng55886	0.0	50738	10/100	0.1
247	untuniutntrng55886	0.0	50726	10/100	0.1
248	untuniutntrng55886	0.0	50454	10/100	0.1
249	untuniutntrng55886	0.0	48837	10/100	0.1
250	untuniutntrng55886	0.0	50754	10/100	0.1
251	untuniutntrng55886	0.0	50820	10/100	0.1
252	untuniutntrng55886	0.0	50422	10/100	0.1
253	untuniutntrng55886	0.0	50706	10/100	0.1
254	untuniutntrng55886	0.0	50850	10/100	0.1
255	untuniutntrng55886	0.0	50776	10/100	0.1
256	untuniutntrng55886	0.0	51919	10/100	0.1
257	untuniutntrng55886	0.0	50646	10/100	0.1
258	untuniutntrng55886	0.0	50885	10/100	0.1
259	untuniutntrng55886	0.0	50571	10/100	0.1
260	untuniutntrng55886	0.0	50612	10/100	0.1
261	untuniutntrng55886	0.0	49266	10/100	0.1
262	untuniutntrng55886	0.0	54671	10/100	0.1
263	untuniutntrng55886	0.0	50631	10/100	0.1
264	untuniutntrng55886	0.0	50421	10/100	0.1
265	untuniutntrng55886	0.0	50590	10/100	0.1
266	untuniutntrng55886	0.0	50381	10/100	0.1
267	untuniutntrng55886	0.0	50714	10/100	0.1
268	untuniutntrng55886	0.0	50646	10/100	0.1
269	untuniutntrng55886	0.0	50629	10/100	0.1
270	untuniutntrng55886	0.0	50690	10/100	0.1
271	untuniutntrng55886	0.0	50566	10/100	0.1
272	untuniutntrng55886	0.0	50699	10/100	0.1
273	untuniutntrng55886	0.0	49383	10/100	0.1
274	untuniutntrng55886	0.0	52758	10/100	0.1
275	untuniutntrng55886	0.0	50462	10/100	0.1
276	untuniutntrng55886	0.0	50549	10/100	0.1
277	untuniutntrng55886	0.0	50654	10/100	0.1
278	untuniutntrng55886	0.0	53365	10/100	0.1
279	untuniutntrng55886	0.0	50672	10/100	0.1
280	untuniutntrng55886	0.0	50708	10/100	0.1
281	untuniutntrng55886	0.0	46115	10/100	0.1
282	untuniutntrng55886	0.0	50417	10/100	0.1
283	untuniutntrng55886	0.0	50614	10/100	0.1
284	untuniutntrng55886	0.0	52598	10/100	0.1
285	untuniutntrng55886	0.0	50622	10/100	0.1
286	untuniutntrng55886	0.0	50543	10/100	0.1
287	untuniutntrng55886	0.0	50521	10/100	0.1
288	untuniutntrng55886	0.0	50870	10/100	0.1
289	untuniutntrng55886	0.0	50459	10/100	0.1
290	untuniutntrng55886	0.0	50574	10/100	0.1
291	untuniutntrng55886	0.0	50520	10/100	0.1
292	untuniutntrng55886	0.0	50446	10/100	0.1
293	untuniutntrng55886	0.0	50819	10/100	0.1
294	untuniutntrng55886	0.0	48257	10/100	0.1
295	untuniutntrng55886	0.0	50623	10/100	0.1
296	untuniutntrng55886	0.0	50638	10/100	0.1
297	untuniutntrng55886	0.0	50409	10/100	0.1
298	untuniutntrng55886	0.0	50451	10/100	0.1
299	untuniutntrng55886	0.0	50653	10/100	0.1
300	untuniutntrng55886	0.0	47376	1/1000	0.001
301	untuniutntrng55886	0.0	43282	1/1000	0.001
302	untuniutntrng55886	0.0	51966	1/1000	0.001
303	untuniutntrng55886	0.0	43044	1/1000	0.001
304	untuniutntrng55886	0.0	48812	1/1000	0.001
305	untuniutntrng55886	0.0	52306	1/1000	0.001
306	untuniutntrng55886	0.0	49419	1/1000	0.001
307	untuniutntrng55886	0.0	48103	1/1000	0.001
308	untuniutntrng55886	0.0	51927	1/1000	0.001
309	untuniutntrng55886	0.0	51338	1/1000	0.001
310	untuniutntrng55886	0.0	52444	1/1000	0.001
311	untuniutntrng55886	0.0	44334	1/1000	0.001
312	untuniutntrng55886	0.0	44109	1/1000	0.001
313	untuniutntrng55886	0.0	43457	1/1000	0.001
314	untuniutntrng55886	0.0	44096	1/1000	0.001
315	untuniutntrng55886	0.0	43970	1/1000	0.001
316	untuniutntrng55886	0.0	48056	1/1000	0.001
317	untuniutntrng55886	0.0	44562	1/1000	0.001
318	untuniutntrng55886	0.0	42938	1/1000	0.001
319	untuniutntrng55886	0.0	44767	1/1000	0.001
320	untuniutntrng55886	0.0	44692	1/1000	0.001
321	untuniutntrng55886	0.0	45939	1/1000	0.001
322	untuniutntrng55886	0.0	52134	1/1000	0.001
323	untuniutntrng55886	0.0	48334	1/1000	0.001
324	untuniutntrng55886	0.0	47231	1/1000	0.001
325	untuniutntrng55886	0.0	54592	1/1000	0.001
326	untuniutntrng55886	0.0	44256	1/1000	0.001
327	untuniutntrng55886	0.0	42166	1/1000	0.001
328	untuniutntrng55886	0.0	45667	1/1000	0.001
329	untuniutntrng55886	0.0	45414	1/1000	0.001
330	untuniutntrng55886	0.0	53288	1/1000	0.001
331	untuniutntrng55886	0.0	50392	1/1000	0.001
332	untuniutntrng55886	0.0	53840	1/1000	0.001
333	untuniutntrng55886	0.0	47533	1/1000	0.001
334	untuniutntrng55886	0.0	53498	1/1000	0.001
335	untuniutntrng55886	0.0	49063	1/1000	0.001
336	untuniutntrng55886	0.0	47872	1/1000	0.001
337	untuniutntrng55886	0.0	53984	1/1000	0.001
338	untuniutntrng55886	0.0	48159	1/1000	0.001
339	untuniutntrng55886	0.0	43699	1/1000	0.001
340	untuniutntrng55886	0.0	44765	1/1000	0.001
341	untuniutntrng55886	0.0	53374	1/1000	0.001
342	untuniutntrng55886	0.0	49046	1/1000	0.001
343	untuniutntrng55886	0.0	52360	1/1000	0.001
344	untuniutntrng55886	0.0	48466	1/1000	0.001
345	untuniutntrng55886	0.0	45447	1/1000	0.001
346	untuniutntrng55886	0.0	53659	1/1000	0.001
347	untuniutntrng55886	0.0	51809	1/1000	0.001
348	untuniutntrng55886	0.0	42706	1/1000	0.001
349	untuniutntrng55886	0.0	47931	1/1000	0.001
350	untuniutntrng55886	0.0	54869	1/1000	0.001
351	untuniutntrng55886	0.0	42431	1/1000	0.001
352	untuniutntrng55886	0.0	44897	1/1000	0.001
353	untuniutntrng55886	0.0	44364	1/1000	0.001
354	untuniutntrng55886	0.0	51797	1/1000	0.001
355	untuniutntrng55886	0.0	42569	1/1000	0.001
356	untuniutntrng55886	0.0	47390	1/1000	0.001
357	untuniutntrng55886	0.0	47160	1/1000	0.001
358	untuniutntrng55886	0.0	53020	1/1000	0.001
359	untuniutntrng55886	0.0	48533	1/1000	0.001
360	untuniutntrng55886	0.0	52806	1/1000	0.001
361	untuniutntrng55886	0.0	54411	1/1000	0.001
362	untuniutntrng55886	0.0	48951	1/1000	0.001
363	untuniutntrng55886	0.0	45688	1/1000	0.001
364	untuniutntrng55886	0.0	45358	1/1000	0.001
365	untuniutntrng55886	0.0	47221	1/1000	0.001
366	untuniutntrng55886	0.0	42078	1/1000	0.001
367	untuniutntrng55886	0.0	50473	1/1000	0.001
368	untuniutntrng55886	0.0	42300	1/1000	0.001
369	untuniutntrng55886	0.0	51185	1/1000	0.001
370	untuniutntrng55886	0.0	51284	1/1000	0.001
371	untuniutntrng55886	0.0	49082	1/1000	0.001
372	untuniutntrng55886	0.0	47798	1/1000	0.001
373	untuniutntrng55886	0.0	49562	1/1000	0.001
374	untuniutntrng55886	0.0	51780	1/1000	0.001
375	untuniutntrng55886	0.0	44868	1/1000	0.001
376	untuniutntrng55886	0.0	54641	1/1000	0.001
377	untuniutntrng55886	0.0	52101	1/1000	0.001
378	untuniutntrng55886	0.0	51274	1/1000	0.001
379	untuniutntrng55886	0.0	54207	1/1000	0.001
380	untuniutntrng55886	0.0	53784	1/1000	0.001
381	untuniutntrng55886	0.0	54148	1/1000	0.001
382	untuniutntrng55886	0.0	46934	1/1000	0.001
383	untuniutntrng55886	0.0	49585	1/1000	0.001
384	untuniutntrng55886	0.0	43958	1/1000	0.001
385	untuniutntrng55886	0.0	48401	1/1000	0.001
386	untuniutntrng55886	0.0	46258	1/1000	0.001
387	untuniutntrng55886	0.0	47698	1/1000	0.001
388	untuniutntrng55886	0.0	44056	1/1000	0.001
389	untuniutntrng55886	0.0	46912	1/1000	0.001
390	untuniutntrng55886	0.0	42244	1/1000	0.001
391	untuniutntrng55886	0.0	54105	1/1000	0.001
392	untuniutntrng55886	0.0	46018	1/1000	0.001
393	untuniutntrng55886	0.0	48882	1/1000	0.001
394	untuniutntrng55886	0.0	43034	1/1000	0.001
395	untuniutntrng55886	0.0	51358	1/1000	0.001
396	untuniutntrng55886	0.0	44365	1/1000	0.001
397	untuniutntrng55886	0.0	53457	1/1000	0.001
398	untuniutntrng55886	0.0	43798	1/1000	0.001
399	untuniutntrng55886	0.0	52804	1/1000	0.001
400	untuniutntrng55886	0.0	50527	200/5	40.0
401	untuniutntrng55886	0.0	52833	200/5	40.0
402	untuniutntrng55886	0.0	50702	200/5	40.0
403	untuniutntrng55886	0.0	50560	200/5	40.0
404	untuniutntrng55886	0.0	52275	200/5	40.0
405	untuniutntrng55886	0.0	50608	200/5	40.0
406	untuniutntrng55886	0.0	52750	200/5	40.0
407	untuniutntrng55886	0.0	52768	200/5	40.0
408	untuniutntrng55886	0.0	50556	200/5	40.0
409	untuniutntrng55886	0.0	52770	200/5	40.0
410	untuniutntrng55886	0.0	52876	200/5	40.0
411	untuniutntrng55886	0.0	52636	200/5	40.0
412	untuniutntrng55886	0.0	52845	200/5	40.0
413	untuniutntrng55886	0.0	52908	200/5	40.0
414	untuniutntrng55886	0.0	50463	200/5	40.0
415	untuniutntrng55886	0.0	53887	200/5	40.0
416	untuniutntrng55886	0.0	50658	200/5	40.0
417	untuniutntrng55886	0.0	50586	200/5	40.0
418	untuniutntrng55886	0.0	50574	200/5	40.0
419	untuniutntrng55886	0.0	52772	200/5	40.0
420	untuniutntrng55886	0.0	51827	200/5	40.0
421	untuniutntrng55886	0.0	50348	200/5	40.0
422	untuniutntrng55886	0.0	50550	200/5	40.0
423	untuniutntrng55886	0.0	52533	200/5	40.0
424	untuniutntrng55886	0.0	50636	200/5	40.0
425	untuniutntrng55886	0.0	52853	200/5	40.0
426	untuniutntrng55886	0.0	50662	200/5	40.0
427	untuniutntrng55886	0.0	52948	200/5	40.0
428	untuniutntrng55886	0.0	50367	200/5	40.0
429	untuniutntrng55886	0.0	50554	200/5	40.0
430	untuniutntrng55886	0.0	50634	200/5	40.0
431	untuniutntrng55886	0.0	52830	200/5	40.0
432	untuniutntrng55886	0.0	50386	200/5	40.0
433	untuniutntrng55886	0.0	46153	200/5	40.0
434	untuniutntrng55886	0.0	53065	200/5	40.0
435	untuniutntrng55886	0.0	52615	200/5	40.0
436	untuniutntrng55886	0.0	50405	200/5	40.0
437	untuniutntrng55886	0.0	52751	200/5	40.0
438	untuniutntrng55886	0.0	50440	200/5	40.0
439	untuniutntrng55886	0.0	50433	200/5	40.0
440	untuniutntrng55886	0.0	50530	200/5	40.0
441	untuniutntrng55886	0.0	50620	200/5	40.0
442	untuniutntrng55886	0.0	50587	200/5	40.0
443	untuniutntrng55886	0.0	52666	200/5	40.0
444	untuniutntrng55886	0.0	52757	200/5	40.0
445	untuniutntrng55886	0.0	53531	200/5	40.0
446	untuniutntrng55886	0.0	52963	200/5	40.0
447	untuniutntrng55886	0.0	49491	200/5	40.0
448	untuniutntrng55886	0.0	52787	200/5	40.0
449	untuniutntrng55886	0.0	53436	200/5	40.0
450	untuniutntrng55886	0.0	52709	200/5	40.0
451	untuniutntrng55886	0.0	52908	200/5	40.0
452	untuniutntrng55886	0.0	50459	200/5	40.0
453	untuniutntrng55886	0.0	50493	200/5	40.0
454	untuniutntrng55886	0.0	52797	200/5	40.0
455	untuniutntrng55886	0.0	52788	200/5	40.0
456	untuniutntrng55886	0.0	50516	200/5	40.0
457	untuniutntrng55886	0.0	50900	200/5	40.0
458	untuniutntrng55886	0.0	52575	200/5	40.0
459	untuniutntrng55886	0.0	50532	200/5	40.0
460	untuniutntrng55886	0.0	52851	200/5	40.0
461	untuniutntrng55886	0.0	50700	200/5	40.0
462	untuniutntrng55886	0.0	52684	200/5	40.0
463	untuniutntrng55886	0.0	48651	200/5	40.0
464	untuniutntrng55886	0.0	53599	200/5	40.0
465	untuniutntrng55886	0.0	52696	200/5	40.0
466	untuniutntrng55886	0.0	50744	200/5	40.0
467	untuniutntrng55886	0.0	50577	200/5	40.0
468	untuniutntrng55886	0.0	50487	200/5	40.0
469	untuniutntrng55886	0.0	52876	200/5	40.0
470	untuniutntrng55886	0.0	50481	200/5	40.0
471	untuniutntrng55886	0.0	52763	200/5	40.0
472	untuniutntrng55886	0.0	50574	200/5	40.0
473	untuniutntrng55886	0.0	50557	200/5	40.0
474	untuniutntrng55886	0.0	50344	200/5	40.0
475	untuniutntrng55886	0.0	46382	200/5	40.0
476	untuniutntrng55886	0.0	52821	200/5	40.0
477	untuniutntrng55886	0.0	52773	200/5	40.0
478	untuniutntrng55886	0.0	50645	200/5	40.0
479	untuniutntrng55886	0.0	52847	200/5	40.0
480	untuniutntrng55886	0.0	50579	200/5	40.0
481	untuniutntrng55886	0.0	52764	200/5	40.0
482	untuniutntrng55886	0.0	50638	200/5	40.0
483	untuniutntrng55886	0.0	50435	200/5	40.0
484	untuniutntrng55886	0.0	50665	200/5	40.0
485	untuniutntrng55886	0.0	52681	200/5	40.0
486	untuniutntrng55886	0.0	52959	200/5	40.0
487	untuniutntrng55886	0.0	52673	200/5	40.0
488	untuniutntrng55886	0.0	50518	200/5	40.0
489	untuniutntrng55886	0.0	50498	200/5	40.0
490	untuniutntrng55886	0.0	52787	200/5	40.0
491	untuniutntrng55886	0.0	52955	200/5	40.0
492	untuniutntrng55886	0.0	50618	200/5	40.0
493	untuniutntrng55886	0.0	52876	200/5	40.0
494	untuniutntrng55886	0.0	52663	200/5	40.0
495	untuniutntrng55886	0.0	48633	200/5	40.0
496	untuniutntrng55886	0.0	50430	200/5	40.0
497	untuniutntrng55886	0.0	52507	200/5	40.0
498	untuniutntrng55886	0.0	50696	200/5	40.0
499	untuniutntrng55886	0.0	50473	200/5	40.0
500	untuniutntrng55886	0.0	50705	20/50	0.4
501	untuniutntrng55886	0.0	50497	20/50	0.4
502	untuniutntrng55886	0.0	50609	20/50	0.4
503	untuniutntrng55886	0.0	53662	20/50	0.4
504	untuniutntrng55886	0.0	50537	20/50	0.4
