idno	translation	author-name	num-authors	author-gender	book-title	publ-ref	publ-decade	publisher	collection	subgenre	group	scifi	sentimental	policier	blanche
Cajio_Fil	yes	Cajio, Linda	1	female	Un fil de soie	1989	1980s	Presses de la Cité	Collection Passion	sentimental	populaire	no	yes	no	no
Calvez_Planete	no	Calvez, Jean-Michel	1	male	Planète des vents	1997	1990s	Fleuve Noir	SF space	scifi	populaire	yes	no	no	no
Camp_Irresistible	yes	Camp, Delayne	1	female	L'irrésistible M. Breedlove	1992	1990s	Harlequin	Duo Desir	sentimental	populaire	no	yes	no	no
Card_Enfants	yes	Card, Orson Scott	1	male	Les enfants de l'esprit	1996	1990s	J’ai lu	J'ai lu	scifi	populaire	yes	no	no	no
Card_Trilogie	yes	Card, Orson Scott	1	male	La trilogie d'Ender	1991	1990s	Éditions Robert Laffont	J'ai lu	scifi	populaire	yes	no	no	no
Cardinal_Grands	no	Cardinal, Marie	1	female	Les grands désordres	1987	1980s	Grasset		blanche	blanche	no	no	no	yes
Carr_Marie	yes	Carr, John Dickson	1	male	Le marié perd la tête	1985	1980s	Le Masque	Romans d'aventures	policier	populaire	no	no	yes	no
Carr_Pambazuko	yes	Carr, Eleni	1	female	Pambazuko	1990	1990s	Harlequin	Collection Or	sentimental	populaire	no	yes	no	no
Carr_Service	yes	Carr, John Dickson	1	male	Service des affaires inclassables	1988	1980s	Le Masque	Romans d'aventures	policier	populaire	no	no	yes	no
Carrere_Moustache	no	Carrère, Emmanuel	1	male	La moustache	1986	1980s	P.O.L	Folio	blanche	blanche	no	no	no	yes
Chance_Enquete	yes	Chance, Sara	1	female	Enquête sur une femme espion	1989	1980s	Harlequin	Rouge Passion	sentimental	populaire	no	yes	no	no
Cheng_Dit	no	Cheng, François	1	male	Le dit de Tian-yi	1998	1990s	Le Livre de Poche		blanche	blanche	no	no	no	yes
Chesbro_Bone	yes	Chesbro, George	1	male	Bone	1991	1990s	Rivages	Rivages/Noir	policier	populaire	no	no	yes	no
Clarinard_Cite	no	Clarinard, Raymond 	1	male	La cité sans mémoire	1998	1990s	Fleuve noir	SF space	scifi	populaire	yes	no	no	no
ClarinardOlliver_Ombre	no	Ollivier Mikael / Clarinard, Raymond 	2	male	L'ombre de Mars 	1997	1990s	Fleuve noir	SF space	scifi	populaire	yes	no	no	no
Clot_Enfant	no	Clot, René-Jean	1	male	L'Enfant halluciné	1987	1980s	Grasset		blanche	blanche	no	no	no	yes
Cody_Tete	yes	Cody, Liza	1	female	Sans la tête	1998	1990s	Le Masque	Romans d'aventures	policier	populaire	no	no	yes	no
Combescot_Filles	no	Combescot, Pierre	1	male	Les filles du Calvaire	1991	1990s	Grasset		blanche	blanche	no	no	no	yes
Cosse_Coin	no	Cossé, Laurence	1	male	Le coin du voile	1996	1990s	Gallimard	Folio	blanche	blanche	no	no	no	yes
Cosse_Femme	no	Cossé, Laurence	1	female	La femme du premier ministre	1998	1990s	Gallimard	Folio	blanche	blanche	no	no	no	yes
Crispin_Prelude	yes	Crispin, Edmund	1	male	Prélude et mort d'Isolde	1988	1980s	Le Masque	Romans d'aventures	policier	populaire	no	no	yes	no
Cross_Smiley	yes	Cross, Amanda	1	female	Sur les pas de Smiley	1997	1990s	Rivages	Rivages/Mystère	policier	populaire	no	no	yes	no
Curval_Habite	no	Curval, Philippe	1	male	Habite-t-on réellement quelque part?	1989	1980s	Denoël	Présence du Futur	scifi	populaire	yes	no	no	no
Curval_Jouer	no	Curval, Philippe	1	male	Comment jouer à l'homme invisible en trois lecons	1986	1980s	Denoël	Présence du Futur	scifi	populaire	yes	no	no	no
Curval_Odeur	no	Curval, Philippe	1	male	L'odeur de la bête	1981	1980s	Denoël	Présence du Futur	scifi	populaire	yes	no	no	no
Daeninckx_Geant	no	Daeninckx, Didier	1	male	Le Géant Inachevé	1984	1980s	(unknown)	(unknown)	policier	populaire	no	no	yes	no
Daeninckx_Metropolice	no	Daeninckx, Didier	1	male	Métropolice	1985	1980s	(unknown)	(unknown)	policier	populaire	no	no	yes	no
Daeninckx_Meurtres	no	Daeninckx, Didier	1	male	Meurtres pour mémoire	1984	1980s	(unknown)	(unknown)	policier	populaire	no	no	yes	no
Daeninckx_Mort	no	Daeninckx, Didier	1	male	Mort au Premier Tour	1997	1990s	(unknown)	(unknown)	policier	populaire	no	no	yes	no
Daeninckx_Nazis	no	Daeninckx, Didier	1	male	Nazis dans le Métro	1996	1990s	(unknown)	(unknown)	policier	populaire	no	no	yes	no
Dard_Alice	no	Dard, Frédéric	1	male	Alice aux Pays des Merguez	1986	1980s	(unknown)	(unknown)	policier	populaire	no	no	yes	no
Dark_Vampires	yes	Dark, Jason	1	male	Vampires en pire	1987	1980s	Hachette	Haute tension / Spectres	sentimental	populaire	no	yes	no	no
Darmon_Baisse	no	Darmon, Paule	1	female	Baisse les yeux, Sarah	1980	1980s	Grasset		blanche	blanche	no	no	no	yes
Deff_Psychopompes	no	Deff, Red	1	male	Les psychopompes de Klash	1990	1990s	Fleuve noir	Anticipation	scifi	populaire	yes	no	no	no
delCastillo_Rue	no	del Castillo, Michel	1	male	Rue des Archives	1996	1990s	Gallimard	Collection Folio	blanche	blanche	no	no	no	yes
Deon_Bagages	no	Déon, Michel	1	male	Bagages pour Vancouver. Mes arches de Noé	1985	1980s	Gallimard	Folio	blanche	blanche	no	no	no	yes
Deon_Montee	no	Déon, Michel	1	male	La montée du soir	1987	1980s	Gallimard		blanche	blanche	no	no	no	yes
Dessaint_Bouche	no	Dessaint, Pascal	1	male	Bouche d'ombre	1996	1990s	Rivages	Rivages/Noir	policier	populaire	no	no	yes	no
Didelot_Ombres	no	Didelot, Francis	1	male	Les ombres du parking	1980	1980s	Le Masque	Romans d'aventures	policier	populaire	no	no	yes	no
Djian_Sotos	no	Djian, Philippe	1	male	Sotos	1995	1990s	Gallimard	Collection Folio	blanche	populaire	no	no	no	yes
Dunyach_Voleurs	no	Dunyach, Jean-Claude	1	male	Voleurs de silence	1992	1990s	Fleuve noir	Anticipation	scifi	populaire	yes	no	no	no
Duras_Amant	no	Duras, Marguerite	1	female	L'Amant	1984	1980s	(unknown)	(unknown)	blanche	blanche	no	no	no	yes
Duras_Yeux	no	Duras, Marguerite	1	female	Les Yeux Bleus Cheveux Noirs	1986	1980s	(unknown)	(unknown)	blanche	blanche	no	no	no	yes
Echenoz_Equipee	no	Echenoz, Jean	1	male	L'Équipée	1986	1980s	(unknown)	(unknown)	blanche	blanche	no	no	no	yes
Ellis_Mais	yes	Ellis, Patricia	1	female	Mais qui est donc M. Chandler?	1990	1990s	Harlequin	Duo Romance	sentimental	populaire	no	yes	no	no
Ellroy_Part	yes	Ellroy, James	1	male	Ma part d'ombre	1999	1990s	Rivages	Rivages/Noir	policier	populaire	no	no	yes	no
Engels_Appel	yes	Engels, Mary Tate	1	female	L'appel du vent	1990	1990s	Harlequin	Duo Desir	sentimental	populaire	no	yes	no	no
Ernaux_Passion	no	Ernaux, Annie	1	female	Passion simple	1991	1990s	Gallimard	Collection Blanche	blanche	blanche	no	no	no	yes
Exbrayat_Pantoufles	no	Exbrayat, Charles	1	male	Mets tes pantoufles, Roméo	1983	1980s	Le Masque	Romans d'aventures	policier	populaire	no	no	yes	no
Facon_Compagnons	no	Facon, Roger	1	male	Les compagnons de la lune blême	1992	1990s	Fleuve noir	Anticipation	scifi	populaire	yes	no	no	no
Fair_Quitte	yes	Fair, A. A. (Erle Stanley Gardner)	1	male	Quitte ou double	1984	1980s	Le Masque	Romans d'aventures	policier	populaire	no	no	yes	no
Fajardie_Nuit	no	Fajardie, Frédéric H.	1	male	La nuit des Chats bottés	1993	1990s	La Table Ronde	La petite vermillon	policier	populaire	no	no	yes	no
Farmer_Odyssee	yes	Farmer, Philip José	1	male	L'odyssée verth	1982	1980s	Presses Pocket	Science-Fiction	scifi	populaire	yes	no	no	no
Fast_Crime	yes	Fast, Julius	1	male	Crime en blanc	1987	1980s	Le Masque	Romans d'aventures	policier	populaire	no	no	yes	no
Fayard_Chasseurs	no	Fayard, Colette	1	female	Les chasseurs au bord de la nuit	1989	1980s	Denoël	Présence du Futur	scifi	populaire	yes	no	no	no
Ferriere_Climat	no	Ferrière, Jean-Pierre	1	male	Un climat mortel	1983	1980s	Le Masque	Romans d'aventures	policier	populaire	no	no	yes	no
Ferval_Assassins	no	Ferval, Henri	1	male	Les assassins sont morts	1982	1980s	Le Masque	Romans d'aventures	policier	populaire	no	no	yes	no
Flanders_Nuit	yes	Flanders, Rebecca	1	female	Nuit de pleine lune	1996	1990s	Harlequin	Sixième Sens	sentimental	populaire	no	yes	no	no
Flanders_Trafiquants	yes	Flanders, Rebecca 	1	female	Les trafiquants de rêve	1996	1990s	Harlequin	Suspense	policier	populaire	no	no	yes	no
Flanders_Vertigo	yes	Flanders, Rebecca	1	female	Vertigo	1994	1990s	Harlequin	Sixième Sens	sentimental	populaire	no	yes	no	no
Forest_Disparue	yes	Forest, Regan	1	male	La disparue de Rosewood	1989	1980s	Harlequin	Duo Desir	sentimental	populaire	no	yes	no	no
Fraser_Fille	yes	Fraser, Alison	1	female	Fille de star	1990	1990s	Harlequin	Hors Série	sentimental	populaire	no	yes	no	no
Freeman_Trio	yes	Freeman, Austin	1	male	Un trio tragique	1997	1990s	Le Masque	Romans d'aventures	policier	populaire	no	no	yes	no
Gamble_Roman	yes	Gamble, M.L.	1	female	Le Roman de Sarah Winesong	1989	1980s	Harlequin	Duo Harmonie	sentimental	populaire	no	yes	no	no
Gascar_Regne	no	Gascar, Pierre	1	male	Le règne végétal	1981	1980s	Gallimard		blanche	blanche	no	no	no	yes
Genefort_Croises	no	Genefort, Laurent 	1	male	Les croisés du vide	1998	1990s	Fleuve noir	SF space	scifi	populaire	yes	no	no	no
Genefort_Engloutis	no	Genefort, Laurent 	1	male	Les engloutis	1999	1990s	Fleuve noir	SF space	scifi	populaire	yes	no	no	no
Genefort_Gueule	no	Genefort, Laurent 	1	male	Dans la gueule du dragon	1998	1990s	Fleuve noir	SF space	scifi	populaire	yes	no	no	no
Genefort_Sang	no	Genefort, Laurent 	1	male	Le sang des immortels	1997	1990s	Fleuve noir	SF space	scifi	populaire	yes	no	no	no
Germain_Eclats	no	Germain, Sylvie	1	female	Éclats de sel	1996	1990s	Gallimard	Collection Blanche	blanche	blanche	no	no	no	yes
Germain_Immensites	no	Germain, Sylvie	1	female	Immensités	1993	1990s	Gallimard	Collection Blanche	blanche	blanche	no	no	no	yes
Gide_Faux	no	Gide, André	1	male	Les faux-monnayeurs	1987	1980s	Gallimard	Collection Folio	blanche	blanche	no	no	no	yes
Giuducelli_Station	no	Giuducelli, Christian	1	male	Station balnéaire	1986	1980s	Gallimard	Collection Blanche	blanche	blanche	no	no	no	yes
Gladstone_Kelly	yes	Gladstone, Eve	1	female	Kelly ou la vraie vie	1992	1990s	Harlequin	Collection Or	sentimental	populaire	no	yes	no	no
Goldrick_Fugue	yes	Goldrick, Emma	1	female	Fugue dans les Caraïbes	1989	1980s	Harlequin	Azur	sentimental	populaire	no	yes	no	no
Gordon_Mariage	yes	Gordon, Lucy	1	female	Mariage à la carte	1990	1990s	Harlequin	Duo Romance	sentimental	populaire	no	yes	no	no
Grisolia_Petite	no	Grisolia, Michel	1	male	La petite amie du crime	1995	1990s	Le Masque	Romans d'aventures	policier	populaire	no	no	yes	no
Grisolia_Soeurs	no	Grisolia, Michel	1	male	Les sœurs du nord	1986	1980s	Le Masque	Romans d'aventures	policier	populaire	no	no	yes	no
Hansen_Mort	yes	Hansen, Joseph	1	male	Par qui la mort arrive	1986	1980s	Rivages	Rivages/Noir	policier	populaire	no	no	yes	no
Harper_Hors	yes	Harper, Madeline	1	female	Les hors-la-loi	1997	1990s	Harlequin	Suspense	policier	populaire	no	no	yes	no
Hayes_Legende	yes	Hayes, Leal	1	female	La légende des Highlands	1986	1980s	Fleuve Noir	Tourmentes	sentimental	populaire	no	yes	no	no
Heinlein_Age	yes	Heinlein, Robert A.	1	male	L'âge des étoiles	1981	1980s	Presses Pocket	Science-Fiction	scifi	populaire	yes	no	no	no
Heinlein_Route	yes	Heinlein, Robert A.	1	male	Route de la gloire	1982	1980s	Presses Pocket	Science-Fiction	scifi	populaire	yes	no	no	no
Heinlein_Vagabond	yes	Heinlein, Robert	1	male	Le vagabond de l'espace	1983	1980s	Presses Pocket	Science-Fiction	scifi	populaire	yes	no	no	no
HermaryVieille_Grand	no	Hermary-Vieille, Catherine	1	female	Le grand vizir de la nuit	1981	1980s	Gallimard	Folio	blanche	blanche	no	no	no	yes
HermaryVieille_Marquise	no	Hermary-Vieille, Catherine	1	female	La Marquise des Ombres	1983	1980s	Denoël	Folio	blanche	blanche	no	no	no	yes
Hooper_Chute	yes	Hooper, Kay	1	female	La chute de Lucas	1989	1980s	Presses de la Cité	Collection Passion	sentimental	populaire	no	yes	no	no
Hooper_Loi	yes	Hooper, Kay	1	female	La loi de Steele	1988	1980s	Presses de la Cité	Collection Passion	sentimental	populaire	no	yes	no	no
Houssin_Argentine	no	Houssin, Joël	1	male	Argentine	1989	1980s	Denoël	Présence du Futur	scifi	populaire	yes	no	no	no
Houssin_Temps	no	Houssin, Joël	1	male	Le temps du twist	1990	1990s	Denoël	Présence du Futur	scifi	populaire	yes	no	no	no
Howard_Montagne	yes	Howard, Linda	1	female	La montagne des Mackenzie	1989	1980s	Harlequin	Duo Harmonie	sentimental	populaire	no	yes	no	no
Irish_Manhattan	yes	Irish, William	1	male	Manhattan Love Song	1986	1980s	Rivages	Rivages/Noir	policier	populaire	no	no	yes	no
Izzo_Kheops	no	Izzo, Jean-Claude	1	male	Total Khéops	1995	1990s	(unknown)	(unknown)	policier	populaire	no	no	yes	no
JamesB_Pic	yes	James, B. J.	1	male	Le pic des ombres	1985	1980s	Presses de la Cité	Collection Passion	sentimental	populaire	no	yes	no	no
Jammet_Sylvie	no	Jammet, Céline	1	female	Sylvie	1987	1980s	Fleuve Noir	Femme Viva	sentimental	populaire	no	yes	no	no
Japrisot_Passion	no	Japrisot, Sébastian	1	male	La passion des femmes	1986	1980s	Gallimard	Folio	blanche	blanche	no	no	no	yes
Jardin_Autobiographie	no	Jardin, Alexandre	1	male	Autobiographie d'un amour	1999	1990s	Gallimard	Folio	blanche	blanche	no	no	no	yes
Jardin_Fanfan	no	Jardin, Alexandre	1	male	Fanfan	1996	1990s	Gallimard	Folio	blanche	blanche	no	no	no	yes
Jeffers_Irregulier	yes	Jeffers, Paul	1	male	Irrégulier, mon cher Morgan! (les fans de Sherlock Holmes)	1985	1980s	Le Masque	Romans d'aventures	policier	populaire	no	no	yes	no
Jeury_Croix	no	Jeury, Michel	1	male	La croix et la lionne	1986	1980s	J'ai lu	Science-Fiction et Fantastique	scifi	populaire	yes	no	no	no
Jeury_Demons	no	Jeury, Michel	1	male	Les demons de Jerusalem	1985	1980s	Presses Pocket	Science-Fiction	scifi	populaire	yes	no	no	no
Kallen_Greenfield	yes	Greenfield, Lucille	1	female	Greenfield connaît la musique	1986	1980s	Le Masque	Romans d'aventures	policier	populaire	no	no	yes	no
Kalmes_Meilleur	yes	Kalmes, Susan	1	female	Le meilleur des deux mondes	1989	1980s	Harlequin	Duo Romance	sentimental	populaire	no	yes	no	no
Kassak_Peur	no	Kassak, Fred	1	male	Qui a peur d'Ed Garpo?	1995	1990s	Le Masque	Romans d'aventures	policier	populaire	no	no	yes	no
Khadra_Automne	no	Khadra, Yasmina	1	male	Automne Chimeres	1998	1990s	(unknown)	(unknown)	policier	populaire	no	no	yes	no
Khadra_Loups	no	Khadra, Yasmina	1	male	À quoi Rêvent les Loups	1999	1990s	(unknown)	(unknown)	blanche	blanche	no	no	no	yes
Khadra_Revent	no	Khadra, Yasmina	1	male	À quoi Rêvent les Loups	1999	1990s	(unknown)	(unknown)	blanche	blanche	no	no	no	yes
Kidd_Promenade	yes	Kidd, Flora	1	female	Promenade au bord de l'Hudson	1989	1980s	Harlequin	Collection Horizon	sentimental	populaire	no	yes	no	no
Klein_Reve	no	Klein, Gérard	1	male	Le rêve des forêts	1987	1980s	J'ai lu	Science-Fiction et Fantastique	scifi	populaire	yes	no	no	no
Knight_Carnaval	yes	Knight, Alicia	1	female	La carnaval de l'angoisse	1998	1990s	Harlequin	Suspense	policier	populaire	no	no	yes	no
Krentz_Deesse	yes	Krentz, Jayne Ann	1	female	La déesse des bords du lac	1990	1990s	Harlequin	Duo Desir	sentimental	populaire	no	yes	no	no
Labro_Ete	no	Labro, Philippe	1	male	Un été dans l'Ouest	1988	1980s	Gallimard	Folio	blanche	blanche	no	no	no	yes
Labro_Etudiant	no	Labro, Philippe	1	male	L'étudiant étranger	1986	1980s	Gallimard	Folio	blanche	blanche	no	no	no	yes
Labro_Petit	no	Labro, Philippe	1	male	Le petit garçon	1990	1990s	Gallimard	Folio	blanche	blanche	no	no	no	yes
Lambert_Nuit	no	Lambert, Christophe	1	male	La nuit des mutants	1996	1990s	Hachette Livre	Science-fiction	scifi	populaire	yes	no	no	no
LeBussy_Djamol	no	Le Bussy, Alain 	1	male	Djamol de Kîv	1996	1990s	Fleuve Noir	Métal	scifi	populaire	yes	no	no	no
LeBussy_Equilibre	no	Le Bussy, Alain	1	male	Equilibre	1997	1990s	Fleuve Noir	SF space	scifi	populaire	yes	no	no	no
LeBussy_Jana	no	Le Bussy, Alain	1	male	Jana des couloirs	1996	1990s	Fleuve Noir	Métal	scifi	populaire	yes	no	no	no
LeBussy_Mendiant	no	Le Bussy, Alain	1	male	Le mendiant de Karnathok	1999	1990s	Fleuve Noir	SF space	scifi	populaire	yes	no	no	no
LeBussy_Nexus	no	Le Bussy, Alain	1	male	Nexus de feu	1998	1990s	Fleuve Noir	Sf metal	scifi	populaire	yes	no	no	no
LeBussy_Rork	no	Le Bussy, Alain	1	male	Rork des plaines	1995	1990s	Fleuve Noir	Métal	scifi	populaire	yes	no	no	no
LeBussy_Tremblemer	no	Le Bussy, Alain	1	male	Tremblemer	1993	1990s	Fleuve Noir	Space, univers infinis	scifi	populaire	yes	no	no	no
LeClezio_Chercheur	no	LeClezio, Jean-Marie	1	male	Chercheur Or	1985	1980s	(unknown)	(unknown)	blanche	blanche	no	no	no	yes
Lee_Maison	yes	Lee, Rachel	1	female	La maison ensorcelée	1994	1990s	Harlequin	Sixième Sens	sentimental	populaire	no	yes	no	no
Leigh_Duel	yes	Leigh, Roberta	1	female	Duel à Los Angeles	1981	1980s	Harlequin	Collection Azur	sentimental	populaire	no	yes	no	no
Lemaire_Peur	no	Lemaire, Jean-Francois	1	male	Peur sur l'asile	1996	1990s	Le Masque	Romans d'aventures	policier	populaire	no	no	yes	no
Leourier_Homme	no	Léourier, Christian	1	male	L'homme qui tua l'hiver	1986	1980s	J'ai lu	Science-Fiction et Fantastique	scifi	populaire	yes	no	no	no
Leourier_Racines	no	Léourier, Christian	1	male	Les racines de l'oubli	1988	1980s	J'ai lu	Science-Fiction et Fantastique	scifi	populaire	yes	no	no	no
Leourier_TiHarnog	no	Léourier, Christian	1	male	Ti-Harnog	1984	1980s	J'ai lu	Science-Fiction et Fantastique	scifi	populaire	yes	no	no	no
LewisThompson_Emeraude	yes	Lewis Thompson, Vicki	1	female	L'émeraude talisman	1989	1980s	Harlequin	Duo Desir	sentimental	populaire	no	yes	no	no
Ligny_Cyberkiller		Ligny, Jean-Marc	1	male	Cyberkiller	1993	1990s	Fleuve Noir	Anticipation	scifi	populaire	yes	no	no	no
Ligny_Dark	no	Ligny, Jean-Marc	1	male	D.a.r.k	1988	1980s	Denoël	Présence du Futur	scifi	populaire	yes	no	no	no
Ligny_Ete	no	Ligny, Jean-Marc	1	male	Un été à Zedong	1991	1990s	Presses de la Cité	Chroniques des nouveaux mondes	scifi	populaire	yes	no	no	no
Ligny_Furia	no	Ligny, Jean-Marc	1	male	Furia!	1982	1980s	Denoël	Présence du Futur	scifi	populaire	yes	no	no	no
Ligny_Rasalgethi	no	Ligny, Jean-Marc	1	male	Rasalgethi	1990	1990s	Fleuve Noir	Anticipation	scifi	populaire	yes	no	no	no
Long_Aucun	yes	Long, Manning	1	male	Aucun délai	1990	1990s	Le Masque	Romans d'aventures	policier	populaire	no	no	yes	no
Lovesey_Course	yes	Lovesey, Peter	1	male	La course ou la vie	1985	1980s	Le Masque	Romans d'aventures	policier	populaire	no	no	yes	no
Lowell_Espionne	yes	Lowell, Elizabeth	1	female	L'espionne du mandarin	1989	1980s	Harlequin	Grands Romans	sentimental	populaire	no	yes	no	no
Lyons_Ciel	yes	Lyons, Mary	1	female	Ciel de colère sur Antigua	1989	1980s	Harlequin	Azur	sentimental	populaire	no	yes	no	no
Macomber_Peur	yes	Macomber, Debbie	1	female	Qui a peur de J.D. Norris?	1989	1980s	Harlequin	Duo Romance	sentimental	populaire	no	yes	no	no
