idno	translation	other-identifier	author-name	num-authors	author-gender	author-nationality	book-title	publ-first	publ-edition	publ-ref	publ-decade	publisher	collection	subgenre	group	translation.1	ISBN	status	scifi	sentimental	policier	blanche
Belfiore_Maitre	no		Belfiore, Robert 	1.0	male	F	Le maître de Juvenfa		1996.0	1996	1990s	Hachette Livre	Vertige science-fiction	scifi	populaire	no	2-01-209597-6	tei	yes	no	no	no
Valetti_Labyrinth			Valetti, Oscar	1.0	male		Labyrinth-jungle		1992.0	1992	1990s	Fleuve Noir	Anticipation	scifi	populaire		2-265-04772-4		yes	no	no	no
Ligny_Rasalgethi	no		Ligny, Jean-Marc	1.0	male	F	Rasalgethi		1990.0	1990	1990s	Fleuve Noir	Anticipation	scifi	populaire		2-265-04400-5		yes	no	no	no
Deff_Psychopompes	no		Deff, Red	1.0	male	F	Les psychopompes de Klash		1990.0	1990	1990s	Fleuve noir	Anticipation	scifi	populaire		2-265-04265-X		yes	no	no	no
LeBussy_Mendiant	no		Le Bussy, Alain	1.0	male	B	Le mendiant de Karnathok		1999.0	1999	1990s	Fleuve Noir	SF space	scifi	populaire	no	2-265-06555-2	tei	yes	no	no	no
Lambert_Nuit	no		Lambert, Christophe	1.0	male	F	La nuit des mutants		1996.0	1996	1990s	Hachette Livre	Science-fiction	scifi	populaire		2-01-209646-8		yes	no	no	no
Ranne_Chute			Ranne, G. Elton	1.0	male		Chute libre		1997.0	1997	1990s	Fleuve Noir	SF polar	scifi	populaire		2-265-06319-3		yes	no	no	no
Vila_Boulevard	no		Vilà, Christian	1.0	male	F	Boulevard de l'infini		1999.0	1999	1990s	Fleuve Noir	SF métal	scifi	populaire		2-265-06479-3		yes	no	no	no
Renford_Plus	no		Renford, Philippe 	1.0	male	F	Plus proche que vous ne pensez		1997.0	1997	1990s	Fleuve Noir	SF métal	scifi	populaire		2-265-06222-7		yes	no	no	no
MartinigolGrousset_Enfant	no		Martinigol, Danielle / Grousset, Alain	2.0	male	F	L'Enfant-mémoire		1996.0	1996	1990s	Hachette Livre	Vertige science-fiction	scifi	populaire		2-01-209594-1		yes	no	no	no
ClarinardOlliver_Ombre	no		Ollivier Mikael / Clarinard, Raymond 	2.0	male	F	L'ombre de Mars 		1997.0	1997	1990s	Fleuve noir	SF space	scifi	populaire		2-265-06183-2		yes	no	no	no
Ligny_Cyberkiller			Ligny, Jean-Marc	1.0	male	F	Cyberkiller		1993.0	1993	1990s	Fleuve Noir	Anticipation	scifi	populaire		2-265-06377-0		yes	no	no	no
Venisse_Troisieme	no		Venisse, Alain	1.0	male	F	Troisième galaxie au fond du placard		1998.0	1998	1990s	Hachette Livre	Vertige science-fiction	scifi	populaire		2-01-209594-1		yes	no	no	no
Genefort_Gueule	no		Genefort, Laurent 	1.0	male	F	Dans la gueule du dragon		1998.0	1998	1990s	Fleuve noir	SF space	scifi	populaire		2-265-06553-6		yes	no	no	no
Andrevon_Gandahar	no		Andrevon, Jean-Pierre 	1.0	male	F	Gandahar et l’oiseau-monde		1997.0	1997	1990s	Hachette Livre	Vertige science-fiction	scifi	populaire	no	2-01-209634-4	tei	yes	no	no	no
LeBussy_Equilibre	no		Le Bussy, Alain	1.0	male	B	Equilibre		1997.0	1997	1990s	Fleuve Noir	SF space	scifi	populaire	no	2-265-06244-8	tei	yes	no	no	no
Genefort_Croises	no		Genefort, Laurent 	1.0	male	F	Les croisés du vide		1998.0	1998	1990s	Fleuve noir	SF space	scifi	populaire		2-265-06466-1		yes	no	no	no
Dunyach_Voleurs	no		Dunyach, Jean-Claude	1.0	male	F	Voleurs de silence		1992.0	1992	1990s	Fleuve noir	Anticipation	scifi	populaire		2-265-04724-4 		yes	no	no	no
Card_Trilogie	yes		Card, Orson Scott	1.0	male	USA	La trilogie d'Ender	1991.0	1993.0	1991	1990s	Éditions Robert Laffont	J'ai lu	scifi	populaire		2-290-31552-4		yes	no	no	no
LeBussy_Jana	no		Le Bussy, Alain	1.0	male	B	Jana des couloirs		1996.0	1996	1990s	Fleuve Noir	Métal	scifi	populaire	no	2-265-05919-6	tei	yes	no	no	no
Genefort_Sang	no		Genefort, Laurent 	1.0	male	F	Le sang des immortels		1997.0	1997	1990s	Fleuve noir	SF space	scifi	populaire		2-265-06245-6		yes	no	no	no
Pelot_Messager	no		Pelot, Pierre	1.0	male	F	Messager des tempêtes lointaines 		1996.0	1996	1990s	Denoël	Présence du futur	scifi	populaire		2.207.30567.8 		yes	no	no	no
Facon_Compagnons	no		Facon, Roger	1.0	male	F	Les compagnons de la lune blême		1992.0	1992	1990s	Fleuve noir	Anticipation	scifi	populaire		2-265-04773-2		yes	no	no	no
Calvez_Planete	no		Calvez, Jean-Michel	1.0	male	F	Planète des vents		1997.0	1997	1990s	Fleuve Noir	SF space	scifi	populaire	no	2-265 06255.3	tei	yes	no	no	no
Krentz_Deesse	yes		Krentz, Jayne Ann	1.0	female		La déesse des bords du lac		1990.0	1990	1990s	Harlequin	Duo Desir	sentimental	populaire	yes	9-78228-0853064	tei	no	yes	no	no
Ward_Rencontre	yes		Ward, Lynda	1.0	female		Rencontre au Crépuscule		1990.0	1990	1990s	Harlequin	Collection Or	sentimental	populaire	yes	978-2-28-007315-8	tei	no	yes	no	no
Seger_Souvenir	yes 		Seger, Maura	1.0	female		Le souvenir de nous		1990.0	1990	1990s	Harlequin	Duo Harmonie	sentimental	populaire	yes	9-78228-0832441	tei	no	yes	no	no
Sommers_Etrange	yes		Sommers, Beverly	1.0	female		Etrange histoire d'amour		1990.0	1990	1990s	Harlequin	Duo Harmonie	sentimental	populaire	yes	2-280-83274-7	tei	no	yes	no	no
Roth_Amour	yes		Roth, Pamela	1.0	female		L'amour aux mille visages		1990.0	1990	1990s	Harlequin	Duo Desir	sentimental	populaire	yes	2-280-85287-X	tei	no	yes	no	no
Martin_Belle	yes		Martin, Nancy	1.0	female		Une belle pour un cow-boy		1990.0	1990	1990s	Harlequin	Rouge Passion	sentimental	populaire	yes	978-2-280-12338-9	tei	no	yes	no	no
Stewardson_Jours	yes		Stewardson, Dawn	1.0	female		Quelques jours pour aimer		1991.0	1991	1990s	Harlequin	Collection Or	sentimental	populaire	yes	2-280-07345-5	tei	no	yes	no	no
Macomber_Vie	yes		Macomber, Debbie	1.0	female		La vie privée d'un professeur		1990.0	1990	1990s	Harlequin	Duo Romance	sentimental	populaire	yes	9-782280-804462	tei	no	yes	no	no
Spencer_Epouse	yes		Spencer, Candace	1.0	female		Une épouse romantique		1991.0	1991	1990s	Harlequin	Rouge Passion	sentimental	populaire	yes	2-280-12362-2	tei	no	yes	no	no
Shayne_Voyageur	yes		Shayne, Maggie	1.0	female		Le voyageur du temps		1996.0	1996	1990s	Harlequin	Sixième Sens	sentimental	populaire	yes	2-280-16068-4	tei	no	yes	no	no
YoungK_Lien	yes		Young, Karen	1.0	female		Lien de coeur		1990.0	1990	1990s	Harlequin	Collection Or	sentimental	populaire	yes	9-782280-073271	tei	no	yes	no	no
Gladstone_Kelly	yes		Gladstone, Eve	1.0	female		Kelly ou la vraie vie		1992.0	1992	1990s	Harlequin	Collection Or	sentimental	populaire	yes	2-280-07381-1	tei	no	yes	no	no
Stewardson_Ombre	yes		Stewardson, Dawn	1.0	female		L'ombre de la lune bleue		1990.0	1990	1990s	Harlequin	Collection Or	sentimental	populaire	yes	2-280-07326-9	tei	no	yes	no	no
Oldfield_Amour	yes		Oldfield, Elizabeth	1.0	female		L'Amour en otage		1990.0	1990	1990s	Harlequin	Collection Horizon	sentimental	populaire	yes	9-782280-017831	tei	no	yes	no	no
Brandon_Fille	yes		Brandon, Joyce	1.0	female		La fille du bandit		1990.0	1990	1990s	Harlequin	Grands Romans	sentimental	populaire	yes	2-280-13216-8	tei	no	yes	no	no
StevensA_Nuit	yes		Stevens, Amanda	1.0	female		La septième nuit		1994.0	1994	1990s	Harlequin	Sixième Sens	sentimental	populaire	yes	2-280-16018-8	tei	no	yes	no	no
Carr_Pambazuko	yes		Carr, Eleni	1.0	female		Pambazuko		1990.0	1990	1990s	Harlequin	Collection Or	sentimental	populaire	yes	2-280-07319-6	tei	no	yes	no	no
Wilkins_Cheri	yes		Wilkins, Gina	1.0	female		Le chéri de Merry		1990.0	1990	1990s	Harlequin	Duo Desir	sentimental	populaire	yes	2-280-85307-8	tei	no	yes	no	no
Fraser_Fille	yes		Fraser, Alison	1.0	female		Fille de star		1990.0	1990	1990s	Harlequin	Hors Série	sentimental	populaire	yes	2-280-11051-2	tei	no	yes	no	no
Gordon_Mariage	yes		Gordon, Lucy	1.0	female		Mariage à la carte		1990.0	1990	1990s	Harlequin	Duo Romance	sentimental	populaire	yes	978-2-28-080444-8	tei	no	yes	no	no
Stephens_Ciel	yes		Stephens, Jeanne	1.0	female		Comme un ciel d'orage		1990.0	1990	1990s	Harlequin	Duo Harmonie	sentimental	populaire	yes	2-280-83255-0	tei	no	yes	no	no
Blair_Eaux	yes		Blair, Kathryn	1.0	female		Eaux dangereuses		1990.0	1990	1990s	Harlequin	Duo Harmonie	sentimental	populaire	yes	9-78228-0832540	tei	no	yes	no	no
Martin_Deesse	yes		Martin, Nancy	1.0	female		La déesse de Kimi Lau		1991.0	1991	1990s	Harlequin	Rouge Passion	sentimental	populaire	yes	2-280-12359-2	tei	no	yes	no	no
Magner_Grande	yes		Magner, Lee	1.0	female		La grande chasse de Foxgrove		1990.0	1990	1990s	Harlequin	Duo Harmonie	sentimental	populaire	yes	9-78228-0832458	tei	no	yes	no	no
Lee_Maison	yes		Lee, Rachel	1.0	female		La maison ensorcelée		1994.0	1994	1990s	Harlequin	Sixième Sens	sentimental	populaire	yes	2-280-16015-3	tei	no	yes	no	no
Toombs_Fantome	yes		Toombs, Jane 	1.0	female		Le fantôme de la dame en blanc		1995.0	1995	1990s	Harlequin	Sixième Sens	sentimental	populaire	yes	2-280-16047-1	tei	no	yes	no	no
Williams_Appel	yes		Williams, Ann	1.0	female		L'appel du futur		1995.0	1995	1990s	Harlequin	Sixième Sens	sentimental	populaire	yes	2-280-16049-8	tei	no	yes	no	no
Flanders_Nuit	yes		Flanders, Rebecca	1.0	female		Nuit de pleine lune		1996.0	1996	1990s	Harlequin	Sixième Sens	sentimental	populaire	yes	2-280-16065-X	tei	no	yes	no	no
Sommers_Professeur	yes		Sommers, Beverly	1.0	female		Le professeur est amoureux		1990.0	1990	1990s	Harlequin	Duo Harmonie	sentimental	populaire	yes	2-280-83269-0	tei	no	yes	no	no
Arnold_Prisonniers	yes		Arnold, Judith	1.0	female		Les prisonniers de l'orage		1990.0	1990	1990s	Harlequin	Duo Harmonie	sentimental	populaire	yes	978-2-28-083271-7	tei	no	yes	no	no
Barnes_Amoureuse	yes		Barnes, Elizabeth	1.0	female				1990.0	1990	1990s	Harlequin	Collection Horizon	sentimental	populaire	yes	2-280-01866-7	tei	no	yes	no	no
SmithR_Coeur	yes		Smith, Ruth Alana	1.0	female		De ton cœur à mon cœur		1992.0	1992	1990s	Harlequin	Collection Or	sentimental	populaire	yes	2-280-07380-3	tei	no	yes	no	no
Ellis_Mais	yes		Ellis, Patricia	1.0	female		Mais qui est donc M. Chandler?		1990.0	1990	1990s	Harlequin	Duo Romance	sentimental	populaire	yes	2-280-80456-5	tei	no	yes	no	no
Schulze_Roses	yes		Schulze, Dallas	1.0	female		Les roses d'avant-saison		1990.0	1990	1990s	Harlequin	Duo Harmonie	sentimental	populaire	yes	978-2-28-083270-0	tei	no	yes	no	no
August_Question	yes		August, Elizabeth	1.0	female		Une question de confiance		1990.0	1990	1990s	Harlequin	Duo Romance	sentimental	populaire	yes	978-2-28-080454-7	tei	no	yes	no	no
Camp_Irresistible	yes		Camp, Delayne	1.0	female		L'irrésistible M. Breedlove		1992.0	1992	1990s	Harlequin	Duo Desir	sentimental	populaire	yes	2-280-85350-7	tei	no	yes	no	no
Pendleton_Jouez	yes		Pendleton, Grace	1.0	female		Jouez pour moi, Anna		1990.0	1990	1990s	Harlequin	Collection Horizon	sentimental	populaire	yes	9-782280-017817	tei	no	yes	no	no
Engels_Appel	yes		Engels, Mary Tate	1.0	female		L'appel du vent		1990.0	1990	1990s	Harlequin	Duo Desir	sentimental	populaire	yes	2-280-85322-1	tei	no	yes	no	no
Pappano_Adriana	yes		Pappano, Marylin	1.0	female		Adriana ou le bel été		1990.0	1990	1990s	Harlequin	Duo Harmonie	sentimental	populaire	yes	2-280-83261-5	tei	no	yes	no	no
Flanders_Vertigo	yes		Flanders, Rebecca	1.0	female		Vertigo		1994.0	1994	1990s	Harlequin	Sixième Sens	sentimental	populaire	yes	2-280-16009-9	tei	no	yes	no	no
Allingham_Maison	yes		Allingham, Margery	1.0	female		La maison des morts étranges		1999.0	1999	1990s	Le Masque	Romans d'aventures	policier	populaire	yes	2-7024-2940-8	tei	no	no	yes	no
Flanders_Trafiquants	yes		Flanders, Rebecca 	1.0	female		Les trafiquants de rêve		1996.0	1996	1990s	Harlequin	Suspense	policier	populaire	yes	2-280-16665-8	tei	no	no	yes	no
Pennac_Monsieur	no	rv0678	Pennac, Daniel	1.0	male	F	Malaussene 4 Monsieur M	1995.0		1995	1990s	(unknown)	(unknown)	policier	populaire	no	(unknown)	tei	no	no	yes	no
Cross_Smiley	yes		Cross, Amanda	1.0	female		Sur les pas de Smiley	1997.0	1999.0	1997	1990s	Rivages	Rivages/Mystère	policier	populaire	yes	2-7436-0564-2	tei	no	no	yes	no
Manchette_Iris	no	rv1069	Manchette, Jean-Patrick	1.0	male	F	Iris. Kulturkampf	1997.0		1997	1990s	(unknown)	(unknown)	policier	populaire	no	(unknown)	tei	no	no	yes	no
Branch_Lion	yes		Branch, Pamela	1.0	female		Un lion dans la cave		1993.0	1993	1990s	Le Masque	Romans d'aventures	policier	populaire	yes	2-7024-2337-X	tei	no	no	yes	no
Barnard_Attachement	yes		Barnard, Robert	1.0	male		Attachement fatal		1995.0	1995	1990s	Le Masque	Romans d'aventures	policier	populaire	yes	2-7024-2435-X	tei	no	no	yes	no
Harper_Hors	yes		Harper, Madeline	1.0	female		Les hors-la-loi		1997.0	1997	1990s	Harlequin	Suspense	policier	populaire	yes	2-280-16691-7	tei	no	no	yes	no
Rodgers_Assassin	yes		Rodgers, M.J.	1.0	female		L'assassin sans visage		1996.0	1996	1990s	Harlequin	Suspense	policier	populaire	yes	2-280-16670-4	tei	no	no	yes	no
Pouy_Petite	no	rv1081	Pouy, Jean-Bernard	1.0	male	F	Le Petite Écuyère a cafté	1995.0		1995	1990s	(unknown)	(unknown)	policier	populaire	no	(unknown)	tei	no	no	yes	no
Freeman_Trio	yes		Freeman, Austin	1.0	male		Un trio tragique		1997.0	1997	1990s	Le Masque	Romans d'aventures	policier	populaire	yes	2-7024-2828-2	tei	no	no	yes	no
Siniac_Aime	no		Siniac, Pierre	1.0	male		Aime le maudit		1991.0	1991	1990s	Le Masque	Romans d'aventures	policier	populaire	no	2-7024-3115-1	tei	no	no	yes	no
Nathan_Dieu	no		Nathan, Tobie	1.0	male		Dieu-Dope	1995.0	1997.0	1995	1990s	Rivages	Rivages/Noir	policier	populaire	no	2-7436-0200-7	tei	no	no	yes	no
Khadra_Automne	no	rv0691	Khadra, Yasmina	1.0	male	DZ	Automne Chimeres	1998.0		1998	1990s	(unknown)	(unknown)	policier	populaire	no	(unknown)	rv	no	no	yes	no
Long_Aucun	yes		Long, Manning	1.0	male		Aucun délai		1990.0	1990	1990s	Le Masque	Romans d'aventures	policier	populaire	yes	2-7024-2021-4	tei	no	no	yes	no
Vargas_Armee	no	rv1093	Vargas, Fred	1.0	female	F	L'Armée Furieuse	1996.0		1996	1990s	(unknown)	(unknown)	policier	populaire	no	(unknown)	tei	no	no	yes	no
Pouy_Larchmutz	no	rv1183	Pouy, Jean-Bernard	1.0	male	F	Larchmütz 5632	1999.0		1999	1990s	(unknown)	(unknown)	policier	populaire	no	(unknown)	tei	no	no	yes	no
Silverwood_Maison	yes		Silverwood, Jane	1.0	female		La maison de l'angoisse		1996.0	1996	1990s	Harlequin	Suspense	policier	populaire	yes	2-280-16668-2	tei	no	no	yes	no
Barr_Feu	yes		Barr, Nevada	1.0	female		Le feu du ciel		1997.0	1997	1990s	Le Masque	Romans d'aventures	policier	populaire	yes	2-7024-2755-3	tei	no	no	yes	no
Rosemoor_Pari	yes		Rosemoor, Patricia	1.0	female		Pari sur la vie		1996.0	1996	1990s	Harlequin	Suspense	policier	populaire	yes	2-280-16675-5	tei	no	no	yes	no
Manchette_Princesse	no	rv1075	Manchette, Jean-Patrick	1.0	male	F	La Princesse de Sang	1996.0		1996	1990s	(unknown)	(unknown)	policier	populaire	no	(unknown)	tei	no	no	yes	no
McDermid_Mauvais	yes		McDermid, Val	1.0	female		Mauvais signes		1998.0	1998	1990s	Le Masque	Romans d'aventures	policier	populaire	yes	2-7024-2879-7	tei	no	no	yes	no
Pelot_Jour	no	rv0810	Pelot, Pierre	1.0	male	F	Le Jour de l'Enfant Tueur	1999.0		1999	1990s	(unknown)	(unknown)	policier	populaire	no	(unknown)	tei	no	no	yes	no
Ellroy_Part	yes		Ellroy, James	1.0	male		Ma part d'ombre		1999.0	1999	1990s	Rivages	Rivages/Noir	policier	populaire	yes	978-2-7436-0467-7	tei	no	no	yes	no
Dessaint_Bouche	no		Dessaint, Pascal	1.0	male		Bouche d'ombre		1996.0	1996	1990s	Rivages	Rivages/Noir	policier	populaire	no	2-7436-0121-3	tei	no	no	yes	no
Daeninckx_Mort	no	rv1017	Daeninckx, Didier	1.0	male	F	Mort au Premier Tour	1997.0		1997	1990s	(unknown)	(unknown)	policier	populaire	no	(unknown)	tei	no	no	yes	no
Pace_Mystere	yes		Pace, Laurel	1.0	male		Le mystère Borodine		1996.0	1996	1990s	Harlequin	Suspense	policier	populaire	yes	2-280-16671-2	tei	no	no	yes	no
ThomasL_Crimes	no		Thomas, Louis C.	1.0	male		Crimes avec préméditation		1993.0	1993	1990s	Le Masque	Romans d'aventures	policier	populaire	no	2-70-24-2380-9	tei	no	no	yes	no
Grisolia_Petite	no		Grisolia, Michel	1.0	male		La petite amie du crime		1995.0	1995	1990s	Le Masque	Romans d'aventures	policier	populaire	no	2-7024-2597-6	tei	no	no	yes	no
Radley_Coups	yes		Radley_Sheila	1.0	female		À tous les coups l'on perd		1991.0	1991	1990s	Le Masque	Romans d'aventures	policier	populaire	yes	2-7024-2184-9	tei	no	no	yes	no
Westlake_Couperet	yes		Westlake, Donald	1.0	male		Le couperet	1998.0	2000.0	1998	1990s	Rivages	Rivages/Noir	policier	populaire	yes	978-2-7436-0711-1	tei	no	no	yes	no
Cody_Tete	yes		Cody, Liza	1.0	female		Sans la tête		1998.0	1998	1990s	Le Masque	Romans d'aventures	policier	populaire	yes	2-7024-2861-4	tei	no	no	yes	no
Izzo_Kheops	no	rv1271	Izzo, Jean-Claude	1.0	male	F	Total Khéops	1995.0		1995	1990s	(unknown)	(unknown)	policier	populaire	no	(unknown)	tei	no	no	yes	no
Pouy_Chasse	no	rv1080	Pouy, Jean-Bernard	1.0	male	F	La Chasse au Tatou dans la pampa argentine	1993.0		1993	1990s	(unknown)	(unknown)	policier	populaire	no	(unknown)	tei	no	no	yes	no
Knight_Carnaval	yes		Knight, Alicia	1.0	female		La carnaval de l'angoisse		1998.0	1998	1990s	Harlequin	Suspense	policier	populaire	yes	2-280-16723-9	tei	no	no	yes	no
Lemaire_Peur	no		Lemaire, Jean-Francois	1.0	male		Peur sur l'asile		1996.0	1996	1990s	Le Masque	Romans d'aventures	policier	populaire	no	2-7024-2675-1	tei	no	no	yes	no
Chesbro_Bone	yes		Chesbro, George	1.0	male		Bone	1991.0	1993.0	1991	1990s	Rivages	Rivages/Noir	policier	populaire	yes	978-2-86930-680-6	tei	no	no	yes	no
Daeninckx_Nazis	no	rv1018	Daeninckx, Didier	1.0	male	F	Nazis dans le Métro	1996.0		1996	1990s	(unknown)	(unknown)	policier	populaire	no	(unknown)	tei	no	no	yes	no
Fajardie_Nuit	no		Fajardie, Frédéric H.	1.0	male		La nuit des Chats bottés		1993.0	1993	1990s	La Table Ronde	La petite vermillon	policier	populaire	no	2-7103-0552-6	tei	no	no	yes	no
Kassak_Peur	no		Kassak, Fred	1.0	male	F	Qui a peur d'Ed Garpo?		1995.0	1995	1990s	Le Masque	Romans d'aventures	policier	populaire	no	2-7024-2619-0	tei	no	no	yes	no
Nothomb_Peplum	no	rv0795	Nothomb, Amélie	1.0	female	BE	Peplum	1996.0		1996	1990s	(unknown)	(unknown)	blanche	blanche	no	(unknown)	tei	no	no	no	yes
Jardin_Fanfan	no		Jardin, Alexandre	1.0	male		Fanfan		1996.0	1996	1990s	Gallimard	Folio	blanche	blanche	no	2-07-038513-2	tei	no	no	no	yes
Simon_Prochain	no		Simon, Yves	1.0	male		Le prochain amour		1996.0	1996	1990s	Grasset		blanche	blanche	no	2-246-50291-8	tei	no	no	no	yes
Cheng_Dit	no		Cheng, François	1.0	male		Le dit de Tian-yi		1998.0	1998	1990s	Le Livre de Poche		blanche	blanche	no	978-2-253-15101-2	tei	no	no	no	yes
Jardin_Autobiographie	no		Jardin, Alexandre	1.0	male		Autobiographie d'un amour	1999.0	2001.0	1999	1990s	Gallimard	Folio	blanche	blanche	no	2-07-041685-2	tei	no	no	no	yes
Pecherot_Tiurai	no	rv0551	Pécherot, Patrick	1.0	male	F	Tiurai	1996.0		1996	1990s	(unknown)	(unknown)	blanche	blanche	no	(unknown)	tei	no	no	no	yes
Cosse_Coin	no		Cossé, Laurence	1.0	male		Le coin du voile		1996.0	1996	1990s	Gallimard	Folio	blanche	blanche	no	2-07-040540-0	tei	no	no	no	yes
Ravey_Bureau	no	rv0150	Ravey, Yves	1.0	male	F	Bureau des Illettres	1992.0		1992	1990s	(unknown)	(unknown)	blanche	blanche	no	(unknown)	tei	no	no	no	yes
Nothomb_Attentat	no	rv0791	Nothomb, Amélie	1.0	female	BE	Attentat	1997.0		1997	1990s	(unknown)	(unknown)	blanche	blanche	no	(unknown)	tei	no	no	no	yes
Benacquista_Saga	no		Benacquista, Tonino	1.0	male		Saga		1999.0	1999	1990s	Gallimard	Folio	blanche	blanche	no	2-07-040845-0	tei	no	no	no	yes
Khadra_Revent	no	rv1273	Khadra, Yasmina	1.0	male	DZ	À quoi Rêvent les Loups	1999.0		1999	1990s	(unknown)	(unknown)	blanche	blanche	no	(unknown)	rv	no	no	no	yes
Boulanger_Confession	no		Boulanger, Daniel	1.0	male		La confession d'Omer		1991.0	1991	1990s	Gallimard	Folio	blanche	blanche	no	2-07-038767-4	tei	no	no	no	yes
Viel_Black	no	rv0209	Viel, Tanguy	1.0	male	F	Le Black Note	1998.0		1998	1990s	(unknown)	(unknown)	blanche	blanche	no	(unknown)	tei	no	no	no	yes
Tessarech_Machine	no		Tessarech, Bruno	1.0	male		La machine à écrire		1996.0	1996	1990s	Gallimard	Folio	blanche	blanche	no	2-07-041232-6	tei	no	no	no	yes
Bon_Temps	no	rv0529	Bon, François	1.0	male	F	Temps Machine	1993.0		1993	1990s	(unknown)	(unknown)	blanche	blanche	no	(unknown)	tei	no	no	no	yes
Sarraute_Portrait	no		Sarraute, Nathalie	1.0	female		Portrait d'un inconnu		1995.0	1995	1990s	Gallimard	Collection Folio	blanche	blanche	no	2-07-036942-0	tei	no	no	no	yes
Bon_Autoroute	no	rv0202	Bon, François	1.0	male	F	Autoroute	1997.0		1997	1990s	(unknown)	(unknown)	blanche	blanche	no	(unknown)	tei	no	no	no	yes
BatailleG_Bleu	no		Bataille, Georges	1.0	male		Le bleu du ciel		1999.0	1999	1990s	Gallimard	Collection l'imaginaire	blanche	blanche	no	2-07-072328-3	tei	no	no	no	yes
Traverso_Voyoutes	no		Traverso, Frédérique	1.0	female		Les Voyoutes		1998.0	1998	1990s	Grasset		blanche	blanche	no	2-246-57201-0	tei	no	no	no	yes
Germain_Immensites	no		Germain, Sylvie	1.0	female		Immensités		1993.0	1993	1990s	Gallimard	Collection Blanche	blanche	blanche	no	2-07-073643-1	tei	no	no	no	yes
Modiano_Loin	no	rv0231	Modiano, Patrick	1.0	male	F	Du Plus Loin de l'Oubli	1996.0		1996	1990s	(unknown)	(unknown)	blanche	blanche	no	(unknown)	tei	no	no	no	yes
Germain_Eclats	no		Germain, Sylvie	1.0	female		Éclats de sel		1996.0	1996	1990s	Gallimard	Collection Blanche	blanche	blanche	no	2-07-074260-8	tei	no	no	no	yes
